Chemical,CAS,MW,H37,vb,logkow,CNOM_M
chlorpromazine,50-53-3,318.86,8.83E-04,263,5.41,2.00E-06
chlorpromazine,50-53-3,318.86,8.83E-04,263,5.41,2.00E-05
