Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
chlorpromazine,50-53-3,318.86,1,0.3304,151,5,2.2128884,5.41,-6.97,2
chlorpromazine,50-53-3,318.86,1,0.3304,151,5,2.2128884,5.41,-6.97,20
