"X50.","X5.","X95.","CAS","Css_h","BMD50.Css","BMD5.Css","BMD95.Css"
49.739271905,37.123548821,113.67690341,"91-20-3",15.79,785.38310337995,586.18083588359,1794.9583048439
65.380032035,21.289253419,145.30545571,"206-44-0",8.101,529.643639515535,172.464241947319,1177.11949670671
37.165400035,20.190759801,117.589211145,"83-32-9",18.25,678.26855063875,368.48136636825,2146.00310339625
1.6682222065,0.0090524833,5.0991156908,"92-87-5",1.26,2.10195998019,0.011406128958,6.424885770408
71.56096927,27.893676463,155.79357306,"106-44-5",0.1851,13.245935411877,5.1631195133013,28.837390373406
74.34128526,35.0434770935,304.603849189998,"87-61-6",13.89,1032.6004522614,486.753896828715,4230.94746524907
0.004756749,0.00273278835,0.00871392565,"60-57-1",1624,7.724960376,4.4380482804,14.1514152556
0.1676936725,0.0677106622,0.501449698249999,"309-00-2",12690,2128.032704025,859.248303318,6363.39667079249
0.7347374175,0.00879116285,2.77567922925,"76-44-8",33.34,24.49614549945,0.293097369419,92.541145503195
0.0002093595,9.3945935e-05,0.00736455415,"58-89-9",205.5,0.04302337725,0.0193058896425,1.513415877825
0.142875375,0.01903937565,0.8753297819,"87-86-5",10.52,1.503048945,0.200294231838,9.208469305588
0.135454878,0.0665133842,2.15485255189999,"86-50-0",0.2244,0.0303960746232,0.01492560341448,0.483548912646358
0.501036349,0.07327417765,4.2491857966,"115-32-2",54.82,27.46681265218,4.016890418773,232.940365369612
0.563136978,0.09202053225,1.54881795655,"115-29-7",66.8,37.6175501304,6.1469715543,103.46103949754
0.026405276,0.0128006688,0.65492944415,"2921-88-2",40.52,1.06994178352,0.518683099776,26.537741076958
