NAPHTHALENE,FLUORANTHENE,ACENAPHTHENE,BENZIDINE,"CRESOL, PARA-","1,2,3-TRICHLOROBENZENE",DIELDRIN,ALDRIN,HEPTACHLOR,"HEXACHLOROCYCLOHEXANE, GAMMA-",PENTACHLOROPHENOL,AZINPHOS-METHYL,DICOFOL,ENDOSULFAN,CHLORPYRIFOS
0.040000002,9.074980922,24.88831945,27.66636501,32.91336768,2.785943425,40.67195455,14.15684314,20.03748422,57.88516161,12.26656937,84.85280022,10.46504063,17.61901535,61.67664831
113.6574493,7.533761217,78.0685819,32.75742425,67.39968851,0.952992694,77.65495177,9.259358388,18.94539735,115.5130898,21.21387759,64.50346235,8.083701476,9.135988441,54.51386672
13.15816557,111.3058543,72.42013363,23.92468248,47.75963533,14.45947436,46.5355586,13.85415271,17.87431756,59.83254796,21.39013161,53.05443085,10.13904241,14.41301909,48.31240303
62.38185322,125.7378696,0.060558644,102.1501203,594.6261628,12.66595022,4.129856375,27.05081468,49.2756199,87.06937067,82.17532361,107.8600356,21.43687067,28.31268085,70.55805337
0.654552416,115.7597584,0.060558644,93.3148094,10,32.6952426,37.13780547,12.98018195,37.22089953,10.58618117,55.22997835,101.2785238,116.5886622,95.27750542,2.347767741
127.5678693,107.2687361,0.637402026,106.8816551,10,33.30636225,27.3612698,47.15222148,21.47796191,16.09227027,50.66637645,42.71847062,41.64924068,31.96982076,44.03093973
71.58027212,92.61916398,38.41869273,91.04493873,21.64656286,1.060909604,29.78694359,34.29896188,110.8311799,11.20214865,52.4300841,19.12281375,21.55242013,121.1490642,68.24968407
131.4906389,119.8620917,83.26096412,104.4883502,18.31495341,10.80306495,31.11790466,83.07383558,56.99094337,25.44669076,5.479062249,6.98761888,21.96849039,118.1744392,35.0823754
38.03541955,66.99778642,67.36384406,58.04504904,34.32069192,1.635571874,39.35536606,46.25137295,68.77621891,39.74509945,16.06706258,81.45967891,42.44999721,100.9770644,37.44939069
101.033577,12.71846562,0.584108491,44.66502881,2.068191734,15.4873945,66.06610794,20.07443829,88.46580702,16.16142535,17.68400735,81.45967891,115.8663174,1.439486654,20.17298334
