Chemical,CAS,MW,H37,vb,logkow,CNOM_M,pKa,IOC type
Perfluorohexanoic_acid,307-24-4,314.05,2.38E-05,182.368,4.2,1.00E-06,0.1,Acid
Perfluorobutanoic_acid,375-22-4,214.04,5.08E+00,127.467,1.72,1.00E-06,0.1,Acid
Perfluorooctanoic_acid,335-67-1,414.07,1.93E-05,237.268,4.13,1.00E-06,0.1,Acid
6_2_Fluorotelomer_sulfonic_acid,27619-97-2,428.17,1.84E-05,250.238,2.97,1.00E-06,1.4,Acid
8_2_Fluorotelomer_sulfonic_acid,39108-34-4,528.18,1.80E-06,305.138,4.18,1.00E-06,1.4,Acid
Perfluoroundecanoic_acid,2058-94-8,564.09,3.36E-05,319.62,5.95,1.00E-06,0.1,Acid
Perfluorooctanesulfonic_acid,1763-23-1,500.13,1.84E-06,272.125,5.95,1.00E-06,-2.9,Acid
Perfluoroheptanoic_acid,375-85-9,364.06,2.12E-05,209.818,3.53,1.00E-06,0.1,Acid
Perfluoropentanoic_acid,2706-90-3,264.05,2.99031E-05,154.917,2.32,1.00E-06,0.1,Acid
Perfluorohexanesulfonic_acid,355-46-4,400.11,1.97568E-05,217.224,2.71,1.00E-06,-2.9,Acid
Perfluorodecanoic_acid,335-76-2,514.08,1.53362E-05,292.169,6.4,1.00E-06,0.1,Acid
cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,1.00E-06,,Neutral
chlorpromazine,50-53-3,318.86,0.000883,263,5.41,1.00E-06,9.4,Base
PBDE 47,5436-43-1,485.79,37.7,225,6.81,1.00E-06,,Neutral
PBDE 99,60348-60-9,564.69,53.195625,241,7.32,1.00E-06,,Neutral
PBDE 153,68631-49-2,643.58,452.92275,257,7.9,1.00E-06,,Neutral
amiodarone,1951-25-3,645.31,1.06E-01,408,7.57,1.00E-06,9,Base
Azathioprine,446-86-6,277.26,4.96E-03,145.378,0.1,1.00E-06,8.2,Acid
Benzocaine,94-09-7,165.19,0.000299031,146.113,1.86,1.00E-06,,Neutral
Butylated hydroxyanisole,25013-16-5,180.24,,,3.42,1.00E-06,,Neutral
Cetirizine dihydrochloride,83881-52-1,388.89,1.06E-05,314.245,0.715,1.00E-06,4.7,Acid
Cyclamate,139-05-9,179.24,1.43E-03,135.301,-0.585,1.00E-06,17.6,Base
Cyclophosphamide,6055-19-2,261.09,1.06E-01,195.697,0.695,1.00E-06,6.1,Base
Cypermethrin,67375-30-8,416.3,0.000211698,313.142,6.62,1.00E-06,,Neutral
DEET,134-62-3,191.27,0.014645918,194.013,2.18,1.00E-06,,Neutral
Dexamethasone,50-02-2,392.46,6.69448E-06,296.213,1.92,1.00E-06,,Neutral
Digoxin,20830-75-5,780.94,1.33572E-05,572.339,1.26,1.00E-06,,Neutral
Fenazaquin,120928-09-8,306.4,1.37E-01,277.895,5.51,1.00E-06,,Neutral
Fenbuconazole,114369-43-6,336.82,0.394199993,284.558,3.23,1.00E-06,,Neutral
Fluazinam,79622-59-6,465.09,1.61E-06,263.303,4.01,1.00E-06,,Neutral
Furosemide,54-31-9,330.74,2.54517E-05,205.814,2.03,1.00E-06,3,Acid
Glybenclamide,10238-21-8,494,1.93071E-05,362.912,4.85,1.00E-06,5,Acid
HC Red 3,2871-01-4,197.19,0.0090306,137.024,0.13,1.00E-06,,Neutral
