,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media,IOC,pKa
1643,4-fluoroaniline,371-40-4,Balbc_3T3,20,96,1.01E-08,0.000131422,0.000149905,0.876699035,N,
1644,"2,4,6-trichlorophenol",88-06-2,Balbc_3T3,20,96,3.03E-07,1.89E-05,0.000148466,0.12758534,A,6.8
1645,Allyl alcohol,107-18-6,Balbc_3T3,20,96,4.76E-09,0.000132981,0.000149881,0.887241175,N,
1646,N-methylaniline,100-61-8,Balbc_3T3,20,96,1.50E-08,0.000117006,0.000149803,0.781064919,N,
1647,"3,4-dichloroaniline",95-76-1,Balbc_3T3,20,96,7.63E-08,6.72E-05,0.000149528,0.449479008,N,
1648,4-decylaniline,37529-30-9,Balbc_3T3,20,96,8.07E-07,2.50E-08,0.000146542,0.000170883,N,
1649,naphthalene,91-20-3,Balbc_3T3,20,96,1.29E-07,3.43E-05,0.000148161,0.231672902,N,
1650,"1,2,4-trichlorobenzene",120-82-1,Balbc_3T3,20,96,3.57E-07,1.08E-05,0.000147187,0.073349435,N,
1651,"1,2-dichlorobenzene",95-50-1,Balbc_3T3,20,96,1.69E-07,2.81E-05,0.000145871,0.192892299,N,
1652,dichloromethane,75-09-2,Balbc_3T3,20,96,7.20E-09,0.000111922,0.000129924,0.861443587,N,
1653,tetrachloroethylene,127-18-4,Balbc_3T3,20,96,1.58E-07,2.51E-05,0.000124642,0.201499988,N,
1654,"2,3-dimethyl-1,3-butadiene",513-81-5,Balbc_3T3,20,96,3.59E-08,2.62E-05,8.50E-05,0.308593137,N,
