,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media,IOC,pKa
1655,Eugenol F,97-53-0,Balbc_3T3,20,96,4.53E-08,9.03E-05,0.000149723,0.60322705,N,
1656,Methyl-antranilate,134-20-3,Balbc_3T3,20,96,2.66E-08,0.00010861,0.000149824,0.724918594,N,
1657,Lilyfore,285977-85-7,Balbc_3T3,20,96,1.66E-07,3.74E-05,0.000149054,0.250802916,N,
1658,Damascone beta,23726-91-2,Balbc_3T3,20,96,4.64E-07,5.77E-06,0.000147484,0.039097461,N,
1659,Veloutone,14595-54-1,Balbc_3T3,20,96,6.98E-07,4.49E-07,0.000146856,0.00305688,N,
1660,Verdox,82356-51-2,Balbc_3T3,20,96,NA,NA,NA,NA,N,
1661,Nirvanol,1506-02-1,Balbc_3T3,20,96,NA,NA,NA,NA,N,
1662,Cetalox,3738-00-9,Balbc_3T3,20,96,7.53E-07,3.23E-07,0.000146792,0.002199002,N,
1663,Tonalide,21145-77-7,Balbc_3T3,20,96,8.49E-07,1.41E-07,0.000146714,0.000960873,N,
1664,"2,4-Dinitrophenol",51-28-5,Balbc_3T3,20,96,2.61E-08,0.000116697,0.000149858,0.778716598,A,4.1
1665,Aldrin,309-00-2,Balbc_3T3,20,96,1.28E-06,1.51E-08,0.0001465,0.000103174,N,
1666,Azinphos-methyl,86-50-0,Balbc_3T3,20,96,1.62E-07,6.38E-05,0.00014949,0.426764992,N,
1667,Chlorpyrifos,2921-88-2,Balbc_3T3,20,96,1.05E-06,1.07E-06,0.000146994,0.007311902,N,
