Chemical,CAS,MW,H37,vb,logkow,CNOM_M
Caffeine,1958/8/2,194.19,1.57E-01,133,-7.00E-02,3680
Lamotrigine,84057-84-1,256.09,1.13E-04,163,2.57,863
Diclofenac,15307-79-6,296.15,1.60E-05,207,0.7,89.4
"2,4-Dichlorophenoxyacetic",94-75-7,221.04,2.99E-04,148,2.81,316
(S)-Naproxen,22204-53-1,230.26,1.08E-04,192,3.18,411
Ibuprofen,15687-27-1,206.28,8.24E-03,200,3.73,263
Torasemide,56211-40-6,348.42,1.84E-06,271,3.37,1100
Warfarin,81-81-2,308.33,6.25E-04,236,2.7,215
