"","Chemical","CAS","MW","H37","vb","logkow","CNOM_M","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","Caffeine","1958/8/2",194.19,0.157,133,-0.07,2440,2439.41076114671,0.14663781077845,591.026275353302,2408.51128989861,2066.74590491835,0.032397943862286,0.00940794504364891,0.987333223358589
"2","Lamotrigine","84057-84-1",256.09,0.000113,163,2.57,439,438.74626585975,1.70621149867146e-05,398.705704469433,389.362805175836,2066.74590491835,0.032397943862286,0.00940794504364891,0.887444145907102
"3","Diclofenac","15307-79-6",296.15,1.6e-05,207,0.7,2.12,2.11956839262942,1.29796801996426e-08,0.784433159675416,2.0919262885568,2066.74590491835,0.032397943862286,0.00940794504364891,0.986958616589707
"4","2,4-Dichlorophenoxyacetic","94-75-7",221.04,0.000299,148,2.81,49.2,49.1627671459257,4.79205574958417e-06,50.4930406614864,41.3284933688875,2066.74590491835,0.032397943862286,0.00940794504364891,0.840646199718898
"5","(S)-Naproxen","22204-53-1",230.26,0.000108,192,3.18,17.7,17.678931983325,5.42260451511947e-07,29.7594033848264,12.9473311886729,2066.74590491835,0.032397943862286,0.00940794504364891,0.732359352979298
"6","Ibuprofen","15687-27-1",206.28,0.00824,200,3.73,316,315.26327341536,0.000487300643617332,931.441460543075,152.495927963521,2066.74590491835,0.032397943862286,0.00940794504364891,0.483709777899207
"7","Torasemide","56211-40-6",348.42,1.84e-06,271,3.37,184,183.721790364037,8.61307443256573e-08,594.571552986918,120.707522141359,2066.74590491835,0.032397943862286,0.00940794504364891,0.65701255089112
"8","Warfarin","81-81-2",308.33,0.000625,236,2.7,242,241.838605936985,5.06461782753106e-05,305.276028869853,208.961433044128,2066.74590491835,0.032397943862286,0.00940794504364891,0.864053248382424
