Compound,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
Caffeine,1958/8/2,194.19,1,0.1112,236.1,7,21749.28,-0.07,-9.95,3680
Lamotrigine,84057-84-1,256.09,2,0.2168,189.2,6.6,249.94384,2.57,-9.7,863
Diclofenac,15307-79-6,296.15,2,0.142,284,17.6,7.018755,0.7,-9.05,89.4
"2,4-Dichlorophenoxyacetic",94-75-7,221.04,4,0.2264,138,2.7,1644.5376,2.81,-7.08,316
(S)-Naproxen,22204-53-1,230.26,4,0.2412,153,4.4,13.35508,3.18,-9.64,411
Ibuprofen,15687-27-1,206.28,4,0.2632,76,5.4,35.68644,3.97,-6.22,263
Torasemide,56211-40-6,348.42,4,0.2488,225.3,4,79.78818,3.37,-15.3,1100
Warfarin,81-81-2,308.33,4,0.222,161.5,4.5,29.692179,2.7,-11.6,215
