"","Chemical","CAS","MW","H37","vb","logkow","CNOM_M","x1","x2","x3","Cdcomp","ncells","Lt","St","Cell_nmole"
"1","amiodarone","1951-25-3",645.31,0.106,408,7.57,2.5e-07,2.76490989803459e-08,7.60740187525547e-16,4.22015465038886e-05,1.85068793531371e-11,1999998.65907848,2.60095899269783e-15,1.16162480978403e-16,0.000286970323823971
"2","amiodarone","1951-25-3",645.31,0.106,408,7.57,2.5e-06,2.76490985003052e-07,7.60740174317657e-15,0.000422015457711898,1.85068790318227e-10,1999998.65907848,2.60095899269783e-15,1.16162480978403e-16,0.00286970318841623
"3","ibuprofen","15687-27-1",206.28,0.008237723,200,3.73,1e-04,8.43955992616754e-05,2.10404149097171e-10,0.00094663364267945,6.58642597459489e-05,1999998.65907848,2.60095899269783e-15,1.16162480978403e-16,0.00643710445439141
"4","ibuprofen","15687-27-1",206.28,0.008237723,200,3.73,0.001,0.00084395601642014,2.10404155031522e-09,0.00946633669378812,0.000658642616036197,1999998.65907848,2.60095899269783e-15,1.16162480978403e-16,0.0643710463594695
