,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,amiodarone,1951-25-3,645.31,0.106,408,7.57,2.50E-07,2.76E-08,7.61E-16,4.22E-05,1.85E-11,1999998.659,2.60E-15,1.16E-16,0.00028697
2,amiodarone,1951-25-3,645.31,0.106,408,7.57,2.50E-06,2.76E-07,7.61E-15,0.000422015,1.85E-10,1999998.659,2.60E-15,1.16E-16,0.002869703
3,ibuprofen,15687-27-1,206.28,0.008237723,200,3.73,1.00E-04,8.44E-05,2.10E-10,0.000946634,6.59E-05,1999998.659,2.60E-15,1.16E-16,0.006437104
4,ibuprofen,15687-27-1,206.28,0.008237723,200,3.73,0.001,0.000843956,2.10E-09,0.009466337,0.000658643,1999998.659,2.60E-15,1.16E-16,0.064371046
,,,,,,,,,,,,,,,
,,,,,,,,1.69E-01,,,,,,,
,,,,,,,,1.69E+00,,,,,,,
