Chemical,CAS,MW,H37,vb,logkow,CNOM_M
cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,7.00E-07
cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,7.00E-06
