Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
cyclosporine A,59865-13-3,1202.61,1,48.2184,150,5,0.67706943,2.92,-45.2,0.25
cyclosporine A,59865-13-3,1202.61,1,48.2184,150,5,0.67706943,2.92,-45.2,2.5
