Chemical,CAS,MW,H37,vb,logkow,CNOM_M
amiodarone,1951-25-3,645.31,1.06E-01,408,7.57,2.50E-07
amiodarone,1951-25-3,645.31,1.06E-01,408,7.57,2.50E-06
ibuprofen,15687-27-1,206.28,0.008237723,200,3.73,0.0001
ibuprofen,15687-27-1,206.28,0.008237723,200,3.73,0.001
