Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
amiodarone,1951-25-3,645.31,2,0.4168,238,9,0.000642083,7.57,-10.7,1
amiodarone,1951-25-3,645.31,2,0.4168,238,9,0.000642083,7.57,-10.7,5
