Chemical,CAS,MW,H37,vb,logkow,CNOM_M
amiodarone,1951-25-3,645.31,1.06E-01,408,7.57,1.00E-06
amiodarone,1951-25-3,645.31,1.06E-01,408,7.57,5.00E-06
