"","Chemical","CAS","MW","H37","vb","logkow","x1","x2","x3","Cdcomp","ncells","Lt","St","F_free"
"1","PFBS","375-73-5",300.1,2.99e-05,162,1.5,0.000100011931090796,1.03738146292042e-12,7.69963848114636e-05,8.94634000024865e-05,9895.61296328595,0.179632471585429,0.0473080522512774,0.89452727316371
"2","4:2 FTS","757124-72-4",328.15,2.49e-05,195,1.76,0.000100016221435199,8.25715197996877e-13,0.000114169614367334,8.55061312766386e-05,9895.61296328595,0.179632471585429,0.0473080522512774,0.854922632045623
"3","PFNA","375-95-1",464.08,0.000119,265,6.07,0.000100794810287149,2.73056642308776e-15,0.00578330007762733,5.8943161229631e-08,9895.61296328595,0.179632471585429,0.0473080522512774,0.000584783691359812
"4","PFHxA","307-24-4",314.05,2.38e-05,182,4.2,0.000100439493788834,6.98754489218562e-14,0.00242185938680399,7.55294394656373e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.0751989447740866
"5","PFBA","375-22-4",214.04,5.08,127,1.72,9.98052839526436e-05,1.69452955000836e-07,7.07532331144782e-05,8.60109842826101e-05,9895.61296328595,0.179632471585429,0.0473080522512774,0.861787882126775
"6","PFOA","335-67-1",414.07,1.93e-05,237,4.13,0.000100414754954899,6.55306368055441e-14,0.00304139688842663,8.73585698405132e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.0869977423932867
"7","6:2 FTS","27619-97-2",428.17,1.84e-05,250,2.97,0.000100096595934749,3.43790800684753e-13,0.000846470855547252,4.81531910585743e-05,9895.61296328595,0.179632471585429,0.0473080522512774,0.481067219208578
"8","8:2 FTS","39108-34-4",528.18,1.8e-06,305,4.18,0.000100432434057268,5.51110227643818e-15,0.00401821981880707,7.87677998138268e-06,9895.61296328595,0.179632471585429,0.0473080522512774,0.0784286476308162
"9","PFUnDA","2058-94-8",564.09,3.36e-05,320,5.95,0.000100781232786165,1.07332660212808e-15,0.00693548397032107,8.20621024020461e-08,9895.61296328595,0.179632471585429,0.0473080522512774,0.00081425975981226
"10","PFOS","1763-23-1",500.13,1.84e-06,272,5.95,0.000100781232761331,5.87774092970829e-17,0.00614909616833432,8.20621023818246e-08,9895.61296328595,0.179632471585429,0.0473080522512774,0.00081425975981226
"11","PFHpA","375-85-9",364.06,2.12e-05,210,3.53,0.000100217241381341,2.07200784580565e-13,0.00152201749218915,2.51712479697775e-05,9895.61296328595,0.179632471585429,0.0473080522512774,0.251166841382086
"12","PFPeA","2706-90-3",264.05,2.99e-05,155,2.32,0.000100035155567838,8.38670420793631e-13,0.000196841214168075,7.23159718149727e-05,9895.61296328595,0.179632471585429,0.0473080522512774,0.722905576589345
"13","PFHxS","355-46-4",400.11,1.98e-05,217,2.71,0.000100064227840072,4.51497580736864e-13,0.0005356691154441,5.87793784538718e-05,9895.61296328595,0.179632471585429,0.0473080522512774,0.587416499608792
"14","PFDA","335-76-2",514.08,1.53e-05,292,6.4,0.000100829209912439,1.40718328995531e-16,0.00662149327088032,2.36227682382144e-08,9895.61296328595,0.179632471585429,0.0473080522512774,0.000234284968202455
