Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
amiodarone,1951-25-3,645.31,2,0.4168,238,9,0.000642083,7.57,-10.7,0.25
amiodarone,1951-25-3,645.31,2,0.4168,238,9,0.000642083,7.57,-10.7,2.5
ibuprofen,15687-27-1,206.28,4,0.2632,87.4,5.4,35.68644,3.73,-5.91,100
ibuprofen,15687-27-1,206.28,4,0.2632,87.4,5.4,35.68644,3.73,-5.91,1000
