Chemical,CAS,MW,Compound type,Salting-out Constant,Melting Point_Celsius degree,pKa,Water Solubility_mgperL,LogKOW,LogKAW,CNOM_uM
Sematilide,101526-83-4,313.42,2,0.158,177.473,9.1,11000,1.1,-12.441,1
Sotalol hydrochloride,959-24-0,272.36,2,0.12332,165.84,9,47100,0.233,-11.578,1
Mifepristone,84371-65-3,429.59,1,0.30908,241.967,7,0.826,4.877,-11.407,1
Perfluorobutanesulfonic_acid,375-73-5,300.1,4,0.174,23.4,-2.9,510.17,1.5,-4.63,1
4_2_Fluorotelomer_sulfonic_acid,757124-72-4,328.15,4,0.1844,33.3,1.4,1283.0665,1.76,-4.26,1
Perfluorononanoic_acid,375-95-1,464.08,4,0.3568,68.6,0.1,1299.424,6.07,-2.47,1
Perfluorohexanoic_acid,307-24-4,314.05,4,0.282,11.7,0.1,29.33227,4.2,-3.31,1
Perfluorobutanoic_acid,375-22-4,214.04,4,0.1828,-17.9,0.1,447.3436,1.72,-3.87,1
Perfluorooctanoic_acid,335-67-1,414.07,4,0.2792,54.3,0.1,5051.654,4.13,-2.75,1
6_2_Fluorotelomer_sulfonic_acid,27619-97-2,428.17,4,0.2328,32.1,1.4,18.240042,2.97,-3.7,1
8_2_Fluorotelomer_sulfonic_acid,39108-34-4,528.18,4,0.2812,32.4,1.4,0.2456037,4.18,-3.14,1
Perfluoroundecanoic_acid,2058-94-8,564.09,4,0.352,98.5,0.1,91.94667,5.95,-1.91,1
Perfluorooctanesulfonic_acid,1763-23-1,500.13,4,0.352,22.8,-2.9,570.1482,5.95,-3.51,1
Perfluoroheptanoic_acid,375-85-9,364.06,4,0.2552,35.4,0.1,117955.44,3.53,-3.03,1
Perfluoropentanoic_acid,2706-90-3,264.05,4,0.2068,1.5,0.1,119.8787,2.32,-3.59,1
Perfluorohexanesulfonic_acid,355-46-4,400.11,4,0.2224,190,-2.9,243.26688,2.71,-4.07,1
Perfluorodecanoic_acid,335-76-2,514.08,4,0.37,90,0.1,1156.68,6.4,-2.19,1
cyclosporine A,59865-13-3,1202.61,1,48.2184,150,7,0.67706943,2.92,-45.2,1
chlorpromazine,50-53-3,318.86,2,0.3304,151,9.4,2.2128884,5.41,-6.97,1
PBDE 47,5436-43-1,485.79,1,19.5456,152,7,0.04420689,6.81,-3.56,1
PBDE 99,60348-60-9,564.69,1,22.7016,177,7,0.014343126,7.32,-4.01,1
PBDE 153,68631-49-2,643.58,1,25.8572,197,7,0.001950047,7.9,-4.37,1
amiodarone,1951-25-3,645.31,2,0.4168,238,9,0.4168,7.57,-10.7,1
Azathioprine,446-86-6,277.26,4,0.118,244,8.2,100.09086,0.1,-15.1,1
Benzocaine,94-09-7,165.19,1,0.1884,92,7,834.2095,1.86,-6.33,1
Butylated hydroxyanisole,25013-16-5,180.24,1,0.2508,64.9,7,358.6776,3.42,-4.8,1
Cetirizine dihydrochloride,83881-52-1,388.89,4,0.1426,249,4.7,443.3346,0.715,-16.6,1
Cyclamate,139-05-9,179.24,2,0.0906,107,17.6,874691.2,-0.585,-9.77,1
Cyclophosphamide,6055-19-2,261.09,2,0.1418,61.5,6.1,46212.93,0.695,-10.2,1
Cypermethrin,67375-30-8,416.3,1,0.3788,102,7,0.01477865,6.62,-6.45,1
DEET,134-62-3,191.27,1,0.2012,-45,7,916.1833,2.18,-6.57,1
Dexamethasone,50-02-2,392.46,1,0.1908,248,7,78.492,1.92,-18.8,1
Digoxin,20830-75-5,780.94,1,0.1644,426,7,59.195252,1.26,-30.7,1
Fenazaquin,120928-09-8,306.4,1,0.3344,78.5,7,0.1495232,5.51,-7.24,1
Fenbuconazole,114369-43-6,336.82,1,0.2432,125,7,0.3738702,3.23,-10,1
Fluazinam,79622-59-6,465.09,1,0.2744,113,7,0.4883445,4.01,-4.7,1
Furosemide,54-31-9,330.74,4,0.1952,261,3,43.98842,2.03,-16.3,1
Glybenclamide,10238-21-8,494,4,0.308,169,5,4.00634,4.85,-18,1
HC Red 3,2871-01-4,197.19,1,0.1192,152,7,121074.66,0.13,-11.8,1
Hydralazine hydrochloride,304-20-1,160.18,2,0.143,163,6,211437.6,0.725,-11.6,1
Ketoconazole,65277-42-1,531.43,2,0.288,146,6.6,83.96594,4.35,-20,1
Metformin,1115-70-4,129.16,2,0.0792,74.3,9.6,1016489.2,-0.87,-9.13,1
Metoclopramide,364-62-5,299.8,2,0.2188,147,9,174.7834,2.62,-12.3,1
Nitrofurantoin,67-20-9,238.16,4,0.0952,263,7.3,96.21664,-0.47,-12.7,1
Oxytetracycline hydrochloride,2058-46-0,460.43,4,0.0528,460,4.5,501868.7,-1.53,-28.9,1
Panthenol,16485-10-2 ,205.25,1,0.0782,164,7,1034460,-0.895,-15,1
Paracetamol,103-90-2,151.16,1,0.1324,170,7,14224.156,0.46,-10.9,1
Topiramate,97240-79-4,339.36,4,0.0584,165,9.2,264022.08,-1.39,-18,1
Trimellitic anhydride,552-30-7,192.13,4,0.1724,162,3.3,15754.66,1.46,-10.2,1
Verapamil hydrochloride,152-11-4,454.6,2,0.2932,200,9.2,2.29573,4.48,-16.2,1
Warfarin,129-06-6,308.33,1,0.2132,175,7,82.94077,2.48,-11.6,1
