,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,1.00E-06,3.45E-07,9.11E-15,6.14E-05,2.66E-08,1999998.659,2.60E-15,1.16E-16,0.000417406
,,,,,,,,,,,,,,,
,,,,,,,,6.91E-04,,,,,,,
