,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,1.50E-06,1.42E-06,8.42E-15,5.67E-05,2.46E-08,249999.8324,0.032,0.00936,4.82E-05
2,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,1.50E-05,1.42E-05,8.42E-14,0.00056738,2.46E-07,249999.8324,0.032,0.00936,0.000482272
,,,,,,,,,,,,,,,
,,,,,,,,2.85E-03,,,,,,,
,,,,,,,,2.85E-02,,,,,,,
