,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
587,"3,4-dichloroaniline",95-76-1,MCF7,2,96,1.23E-06,1.22E-04,1.49E-04,0.818491891
588,4-decylaniline,37529-30-9,MCF7,2,96,1.15E-05,1.44E-06,1.38E-04,0.010419834
589,naphthalene,91-20-3,MCF7,2,96,2.13E-06,1.10E-04,1.48E-04,0.74560973
590,"1,2,4-trichlorobenzene",120-82-1,MCF7,2,96,6.39E-06,4.85E-05,1.44E-04,0.337853814
591,"1,2-dichlorobenzene",95-50-1,MCF7,2,96,2.87E-06,9.75E-05,1.47E-04,0.662854229
592,dichloromethane,75-09-2,MCF7,2,96,2.65E-07,1.48E-04,1.50E-04,0.985811083
593,tetrachloroethylene,127-18-4,MCF7,2,96,2.11E-06,1.12E-04,1.48E-04,0.759754206
594,"2,3-dimethyl-1,3-butadiene",513-81-5,MCF7,2,96,6.91E-07,1.38E-04,1.49E-04,0.923148558
595,cyclosporine A,59865-13-3,MCF7,2,96,,,,
596,chlorpromazine,50-53-3,MCF7,2,96,1.20E-05,9.45E-06,1.38E-04,0.068511482
597,PBDE 47,5436-43-1,MCF7,2,96,1.53E-05,4.05E-07,1.35E-04,0.003004713
598,PBDE 99,60348-60-9,MCF7,2,96,1.65E-05,1.81E-07,1.33E-04,0.001357049
599,PBDE 153,68631-49-2,MCF7,2,96,1.76E-05,7.14E-08,1.32E-04,0.000539426
600,amiodarone,1951-25-3,MCF7,2,96,1.93E-05,4.25E-09,1.31E-04,3.24913E-05
601,PFBS,375-73-5,MCF7,2,96,4.88E-07,1.39E-04,1.50E-04,0.927820258
602,4:2 FTS,757124-72-4,MCF7,2,96,,,,
603,PFNA,375-95-1,MCF7,2,96,,,,
604,PFHxA,307-24-4,MCF7,2,96,,,,
605,PFBA,375-22-4,MCF7,2,96,,,,
606,PFOA,335-67-1,MCF7,2,96,,,,
607,6:2 FTS,27619-97-2,MCF7,2,96,,,,
608,8:2 FTS,39108-34-4,MCF7,2,96,,,,
609,PFUnDA,2058-94-8,MCF7,2,96,,,,
610,PFOS,1763-23-1,MCF7,2,96,,,,
611,PFHpA,375-85-9,MCF7,2,96,,,,
612,PFPeA,2706-90-3,MCF7,2,96,,,,
613,PFHxS,355-46-4,MCF7,2,96,,,,
614,PFDA,335-76-2,MCF7,2,96,,,,
615,Azathioprine,446-86-6,MCF7,2,96,2.18E-07,1.49E-04,1.50E-04,0.995016542
616,Benzocaine,94-09-7,MCF7,2,96,3.72E-07,1.44E-04,1.50E-04,0.964611039
617,Butylated hydroxyanisole,25013-16-5,MCF7,2,96,,,,
618,Cetirizine dihydrochloride,83881-52-1,MCF7,2,96,,,,
619,Cyclamate,139-05-9,MCF7,2,96,,,,
620,Cyclophosphamide,6055-19-2,MCF7,2,96,,,,
621,Cypermethrin,67375-30-8,MCF7,2,96,,,,
