,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
725,Cetirizine dihydrochloride,83881-52-1,HCT116,2,96,5.21E-08,1.46E-04,1.46E-04,0.999801852
726,Cyclamate,139-05-9,HCT116,2,96,4.46E-08,0.000149184,0.000149188,1.000365602
727,Cyclophosphamide,6055-19-2,HCT116,2,96,5.17E-08,0.000145886,0.000145967,0.999829995
728,Cypermethrin,67375-30-8,HCT116,2,96,3.00E-05,5.08782E-07,8.86273E-05,0.005742934
729,DEET,134-62-3,HCT116,2,96,2.67E-07,0.000123684,0.000126348,0.979296352
730,Dexamethasone,50-02-2,HCT116,2,96,1.72E-07,1.31E-04,0.00013222,0.989154705
731,Digoxin,20830-75-5,HCT116,2,96,7.28E-08,0.000141544,0.000141861,0.998152269
732,Fenazaquin,120928-09-8,HCT116,2,96,1.45E-05,3.28159E-06,8.79034E-05,0.037346358
733,Fenbuconazole,114369-43-6,HCT116,2,96,1.60E-06,7.31E-05,9.41E-05,0.777564681
734,Fluazinam,79622-59-6,HCT116,2,96,3.89E-06,2.90868E-05,8.62944E-05,0.337196496
735,Furosemide,54-31-9,HCT116,2,96,5.60E-08,0.000148199,0.000149933,0.988819057
736,Glybenclamide,10238-21-8,HCT116,2,96,7.44E-06,7.84165E-06,9.44634E-05,0.083044954
737,HC Red 3,2871-01-4,HCT116,2,96,4.61E-08,1.48E-04,1.48E-04,1.000249737
738,Hydralazine hydrochloride,304-20-1,HCT116,2,96,5.23E-08,0.000145725,0.000145813,0.999787255
739,Ketoconazole,65277-42-1,HCT116,2,96,4.90E-06,1.66E-05,9.21187E-05,0.179988856
740,Metformin,1115-70-4,HCT116,2,96,4.45E-08,0.000149423,0.000149425,1.000377836
741,Metoclopramide,364-62-5,HCT116,2,96,5.88E-07,1.07E-04,0.000113596,0.940508131
742,Nitrofurantoin,67-20-9,HCT116,2,96,4.47E-08,0.000149059,0.000149064,1.000357685
743,Oxytetracycline hydrochloride,2058-46-0,HCT116,2,96,4.44E-08,0.00014973,0.000149731,1.000387563
744,Panthenol,16485-10-2 ,HCT116,2,96,4.45E-08,1.49E-04,0.000149442,1.000378555
745,Paracetamol,103-90-2,HCT116,2,96,4.85E-08,0.000146953,0.000146999,1.000075203
746,Topiramate,97240-79-4,HCT116,2,96,4.44E-08,0.000149685,0.000149686,1.000386574
747,Trimellitic anhydride,552-30-7,HCT116,2,96,8.96E-08,0.000139113,0.000139622,0.99673725
748,Verapamil hydrochloride,152-11-4,HCT116,2,96,5.23E-06,1.30734E-05,9.52592E-05,0.137294246
749,Warfarin,129-06-6,HCT116,2,96,4.58E-07,0.000112902,0.000117993,0.957225144
750,"2,4-Dinitrophenol",51-28-5,HEK293T,2,96,2.11E-07,1.36E-04,1.37E-04,0.994283919
751,Aldrin,309-00-2,HEK293T,2,96,3.22E-05,6.04E-07,8.34E-05,0.007245657
752,Azinphos-methyl,86-50-0,HEK293T,2,96,9.38E-07,1.00E-04,1.09E-04,0.91971443
753,Chlorpyrifos,2921-88-2,HEK293T,2,96,9.96E-06,6.78E-06,9.20E-05,0.073737078
754,"DDD-p,p'",50-29-3,HEK293T,2,96,3.85E-05,2.77E-07,8.66E-05,0.003201257
755,"DDT-o,p'",789-02-6,HEK293T,2,96,3.37E-05,5.49E-07,8.51E-05,0.006455554
756,"DDT-p,p'",72-54-8,HEK293T,2,96,2.67E-05,1.22E-06,8.41E-05,0.014475667
757,Diazinon,333-41-5,HEK293T,2,96,3.91E-06,3.86E-05,8.50E-05,0.454744329
758,Dicofol,115-32-2,HEK293T,2,96,1.06E-05,6.29E-06,9.12E-05,0.068955307
759,Dieldrin,60-57-1,HEK293T,2,96,1.18E-05,5.53E-06,9.00E-05,0.061440283
760,Disulfoton,298-04-4,HEK293T,2,96,4.70E-06,2.85E-05,8.60E-05,0.331694573
761,Endosulfan I,115-29-7,HEK293T,2,96,3.98E-06,3.76E-05,8.49E-05,0.44251938
762,Endrin,72-20-8,HEK293T,2,96,1.59E-05,3.61E-06,8.69E-05,0.041634285
763,Ethion,563-12-2,HEK293T,2,96,1.12E-05,5.90E-06,9.06E-05,0.065127306
764,Heptachlor,76-44-8,HEK293T,2,96,2.64E-05,1.26E-06,8.40E-05,0.014982094
765,Heptachlor epoxide B,1024-57-3,HEK293T,2,96,1.02E-05,6.61E-06,9.17E-05,0.072120204
766,Lindane,58-89-9,HEK293T,2,96,3.54E-06,4.31E-05,8.44E-05,0.510217563
767,"Methoxychlor-o,p'",72-43-5,HEK293T,2,96,1.13E-05,5.82E-06,9.05E-05,0.06437867
768,Parathion,56-38-2,HEK293T,2,96,3.99E-06,3.76E-05,8.50E-05,0.44251938
769,Trifluralin,1582-09-8,HEK293T,2,96,1.46E-05,4.10E-06,8.75E-05,0.046854026
770,Eugenol F,97-53-0,HEK293T,2,96,4.38E-07,1.20E-04,1.24E-04,0.974200527
771,Methyl-antranilate,134-20-3,HEK293T,2,96,2.62E-07,1.32E-04,1.33E-04,0.99019704
772,Lilyfore,285977-85-7,HEK293T,2,96,1.98E-06,7.23E-05,9.36E-05,0.77326174
773,Damascone beta,23726-91-2,HEK293T,2,96,5.32E-06,1.73E-05,8.51E-05,0.202935234
774,Veloutone,14595-54-1,HEK293T,2,96,1.38E-05,4.45E-06,8.81E-05,0.050571755
775,Verdox,82356-51-2,HEK293T,2,96,3.16E-05,6.67E-07,8.37E-05,0.00796788
776,Nirvanol,1506-02-1,HEK293T,2,96,1.99E-05,2.42E-06,8.51E-05,0.028437992
777,Cetalox,3738-00-9,HEK293T,2,96,1.36E-05,3.31E-06,7.65E-05,0.043327129
778,Tonalide,21145-77-7,HEK293T,2,96,1.99E-05,2.42E-06,8.51E-05,0.028437992
779,Caffeine,58-08-2,HEK293T,2,96,1.32E-07,1.48E-04,1.48E-04,1.000304038
780,Lamotrigine,84057-84-1,HEK293T,2,96,7.16E-07,1.09E-04,1.15E-04,0.947481012
781,Diclofenac,15307-79-6,HEK293T,2,96,1.32E-07,1.50E-04,1.50E-04,0.999969329
782,"2,4-Dichlorophenoxyacetic",94-75-7,HEK293T,2,96,2.00E-07,1.38E-04,1.50E-04,0.924333076
783,(S)-Naproxen,22204-53-1,HEK293T,2,96,2.77E-07,1.24E-04,1.50E-04,0.828427689
784,Ibuprofen,15687-27-1,HEK293T,2,96,4.80E-07,8.20E-05,1.49E-04,0.549262767
785,Torasemide,56211-40-6,HEK293T,2,96,8.42E-07,1.00E-04,1.35E-04,0.743698713
786,Warfarin,81-81-2,HEK293T,2,96,1.88E-07,1.41E-04,1.50E-04,0.941505608
787,di-n-butylphthalate,84-74-2,HEK293T,2,96,6.68E-06,1.03E-05,9.72E-05,0.105854763
788,hexachlorophene,70-30-4,HEK293T,2,96,4.25E-05,1.08E-06,1.06E-04,0.010156585
789,hexamethylenetetramine,100-97-0,HEK293T,2,96,1.23E-07,1.40E-04,1.40E-04,1.000385412
790,Malathion,121-75-5,HEK293T,2,96,5.04E-07,1.17E-04,1.21E-04,0.967913055
791,pentachlorophenol,87-86-5,HEK293T,2,96,1.59E-06,1.21E-05,1.48E-04,0.08201945
792,"2,2,2-trichloroethanol",115-20-8,HEK293T,2,96,1.62E-07,1.29E-04,1.30E-04,0.997078122
793,diethylphthalate,84-66-2,HEK293T,2,96,5.70E-07,1.14E-04,1.19E-04,0.961116816
794,4-chlorophenol,106-48-9,HEK293T,2,96,5.26E-07,1.16E-04,1.20E-04,0.965509205
795,permethrin,52645-53-1,HEK293T,2,96,3.28E-05,6.15E-07,8.49E-05,0.007245657
796,Aniline,62-53-3,HEK293T,2,96,1.42E-07,1.43E-04,1.43E-04,0.999464278
797,4-fluoroaniline,371-40-4,HEK293T,2,96,1.51E-07,1.40E-04,1.40E-04,0.998681172
798,"2,4,6-trichlorophenol",88-06-2,HEK293T,2,96,3.40E-06,4.43E-05,8.37E-05,0.528719239
799,Allyl alcohol,107-18-6,HEK293T,2,96,1.26E-07,1.40E-04,1.40E-04,1.000235302
800,N-methylaniline,100-61-8,HEK293T,2,96,1.96E-07,1.27E-04,1.28E-04,0.994431355
801,"3,4-dichloroaniline",95-76-1,HEK293T,2,96,8.49E-07,1.03E-04,1.11E-04,0.930025578
802,4-decylaniline,37529-30-9,HEK293T,2,96,3.00E-05,8.55E-07,8.43E-05,0.01014587
803,naphthalene,91-20-3,HEK293T,2,96,1.60E-06,5.10E-05,6.83E-05,0.746223652
804,"1,2,4-trichlorobenzene",120-82-1,HEK293T,2,96,6.77E-07,4.40E-06,1.26E-05,0.348332316
805,"1,2-dichlorobenzene",95-50-1,HEK293T,2,96,2.77E-07,6.56E-06,9.64E-06,0.680785945
806,dichloromethane,75-09-2,HEK293T,2,96,1.28E-08,1.13E-05,1.13E-05,0.998206451
807,tetrachloroethylene,127-18-4,HEK293T,2,96,9.67E-08,2.45E-06,3.52E-06,0.696672964
808,"2,3-dimethyl-1,3-butadiene",513-81-5,HEK293T,2,96,1.63E-09,8.67E-08,1.03E-07,0.838476732
809,cyclosporine A,59865-13-3,HEK293T,2,96,1.23E-06,9.13E-05,1.03E-04,0.882653472
810,chlorpromazine,50-53-3,HEK293T,2,96,1.56E-05,3.72E-06,8.70E-05,0.042757652
811,PBDE 47,5436-43-1,HEK293T,2,96,3.72E-05,3.38E-07,8.61E-05,0.003929009
812,PBDE 99,60348-60-9,HEK293T,2,96,4.30E-05,1.19E-07,8.87E-05,0.001342522
813,PBDE 153,68631-49-2,HEK293T,2,96,4.75E-05,3.40E-08,9.14E-05,0.000372014
814,amiodarone,1951-25-3,HEK293T,2,96,4.52E-05,6.98E-08,9.00E-05,0.000776636
815,PFBS,375-73-5,HEK293T,2,96,1.84E-07,1.38E-04,1.38E-04,0.996361397
816,4:2 FTS,757124-72-4,HEK293T,2,96,2.28E-07,1.33E-04,1.34E-04,0.992782666
817,PFNA,375-95-1,HEK293T,2,96,2.58E-05,1.32E-06,8.37E-05,0.015768742
818,PFHxA,307-24-4,HEK293T,2,96,5.27E-06,2.11E-05,8.73E-05,0.241309502
819,PFBA,375-22-4,HEK293T,2,96,2.16E-07,1.32E-04,1.33E-04,0.993490514
820,PFOA,335-67-1,HEK293T,2,96,4.83E-06,2.27E-05,8.28E-05,0.27439223
821,6:2 FTS,27619-97-2,HEK293T,2,96,1.30E-06,8.65E-05,9.96E-05,0.869228551
822,8:2 FTS,39108-34-4,HEK293T,2,96,5.16E-06,2.16E-05,8.64E-05,0.250477863
823,PFUnDA,2058-94-8,HEK293T,2,96,5.32E-06,6.04E-06,1.45E-04,0.041751562
824,PFOS,1763-23-1,HEK293T,2,96,5.32E-06,6.04E-06,1.45E-04,0.041751562
825,PFHpA,375-85-9,HEK293T,2,96,2.72E-06,5.11E-05,8.18E-05,0.624882399
826,PFPeA,2706-90-3,HEK293T,2,96,4.56E-07,1.14E-04,1.18E-04,0.970870084
827,PFHxS,355-46-4,HEK293T,2,96,8.70E-07,1.01E-04,1.09E-04,0.926731714
828,PFDA,335-76-2,HEK293T,2,96,1.01E-05,4.01E-06,1.40E-04,0.028655711
829,Azathioprine,446-86-6,HEK293T,2,96,1.32E-07,1.48E-04,1.48E-04,1.000259671
830,Benzocaine,94-09-7,HEK293T,2,96,2.56E-07,1.32E-04,1.33E-04,0.990681691
831,Butylated hydroxyanisole,25013-16-5,HEK293T,2,96,2.52E-06,6.11E-05,8.91E-05,0.686130849
832,Cetirizine dihydrochloride,83881-52-1,HEK293T,2,96,1.38E-07,1.46E-04,1.46E-04,0.999801852
833,Cyclamate,139-05-9,HEK293T,2,96,1.31E-07,0.000149098,0.000149102,1.000365602
834,Cyclophosphamide,6055-19-2,HEK293T,2,96,1.38E-07,0.000145802,0.000145883,0.999829995
835,Cypermethrin,67375-30-8,HEK293T,2,96,3.45E-05,4.89661E-07,8.52964E-05,0.005742934
836,DEET,134-62-3,HEK293T,2,96,3.85E-07,0.000123587,0.000126249,0.979296352
837,Dexamethasone,50-02-2,HEK293T,2,96,2.74E-07,1.31E-04,0.00013213,0.989154705
838,Digoxin,20830-75-5,HEK293T,2,96,1.61E-07,0.000141461,0.000141778,0.998152269
839,Fenazaquin,120928-09-8,HEK293T,2,96,1.71E-05,3.22029E-06,8.62614E-05,0.037346358
840,Fenbuconazole,114369-43-6,HEK293T,2,96,1.96E-06,7.30E-05,9.39E-05,0.777564681
841,Fluazinam,79622-59-6,HEK293T,2,96,4.66E-06,2.89348E-05,8.58435E-05,0.337196496
842,Furosemide,54-31-9,HEK293T,2,96,1.43E-07,0.000148112,0.000149846,0.988819057
843,Glybenclamide,10238-21-8,HEK293T,2,96,8.83E-06,7.76543E-06,9.35452E-05,0.083044954
844,HC Red 3,2871-01-4,HEK293T,2,96,1.32E-07,1.48E-04,1.48E-04,1.000249737
845,Hydralazine hydrochloride,304-20-1,HEK293T,2,96,1.39E-07,0.000145641,0.000145729,0.999787255
846,Ketoconazole,65277-42-1,HEK293T,2,96,5.84E-06,1.65E-05,9.15215E-05,0.179988856
847,Metformin,1115-70-4,HEK293T,2,96,1.31E-07,0.000149337,0.000149339,1.000377836
848,Metoclopramide,364-62-5,HEK293T,2,96,7.61E-07,1.07E-04,0.000113464,0.940508131
849,Nitrofurantoin,67-20-9,HEK293T,2,96,1.31E-07,0.000148973,0.000148978,1.000357685
850,Oxytetracycline hydrochloride,2058-46-0,HEK293T,2,96,1.31E-07,0.000149644,0.000149644,1.000387563
851,Panthenol,16485-10-2 ,HEK293T,2,96,1.31E-07,1.49E-04,0.000149356,1.000378555
852,Paracetamol,103-90-2,HEK293T,2,96,1.35E-07,0.000146869,0.000146915,1.000075203
853,Topiramate,97240-79-4,HEK293T,2,96,1.31E-07,0.000149599,0.000149599,1.000386574
854,Trimellitic anhydride,552-30-7,HEK293T,2,96,1.80E-07,0.000139029,0.000139538,0.99673725
855,Verapamil hydrochloride,152-11-4,HEK293T,2,96,6.23E-06,1.29832E-05,9.4602E-05,0.137294246
856,Warfarin,129-06-6,HEK293T,2,96,6.08E-07,0.000112789,0.000117875,0.957225144
857,"2,4-Dinitrophenol",51-28-5,HepG2,2,96,1.55E-07,1.36E-04,1.37E-04,0.994283919
858,Aldrin,309-00-2,HepG2,2,96,3.65E-05,5.82E-07,8.04E-05,0.007245657
859,Azinphos-methyl,86-50-0,HepG2,2,96,1.03E-06,1.00E-04,1.09E-04,0.91971443
860,Chlorpyrifos,2921-88-2,HepG2,2,96,1.15E-05,6.70E-06,9.09E-05,0.073737078
861,"DDD-p,p'",50-29-3,HepG2,2,96,4.33E-05,2.65E-07,8.28E-05,0.003201257
862,"DDT-o,p'",789-02-6,HepG2,2,96,3.81E-05,5.28E-07,8.18E-05,0.006455554
863,"DDT-p,p'",72-54-8,HepG2,2,96,3.05E-05,1.18E-06,8.15E-05,0.014475667
864,Diazinon,333-41-5,HepG2,2,96,4.54E-06,3.85E-05,8.46E-05,0.454744329
865,Dicofol,115-32-2,HepG2,2,96,1.23E-05,6.21E-06,9.01E-05,0.068955307
866,Dieldrin,60-57-1,HepG2,2,96,1.36E-05,5.45E-06,8.88E-05,0.061440283
867,Disulfoton,298-04-4,HepG2,2,96,5.45E-06,2.84E-05,8.55E-05,0.331694573
868,Endosulfan I,115-29-7,HepG2,2,96,4.62E-06,3.74E-05,8.46E-05,0.44251938
869,Endrin,72-20-8,HepG2,2,96,1.83E-05,3.55E-06,8.53E-05,0.041634285
870,Ethion,563-12-2,HepG2,2,96,1.30E-05,5.82E-06,8.95E-05,0.065127306
871,Heptachlor,76-44-8,HepG2,2,96,3.01E-05,1.22E-06,8.15E-05,0.014982094
872,Heptachlor epoxide B,1024-57-3,HepG2,2,96,1.18E-05,6.54E-06,9.07E-05,0.072120204
873,Lindane,58-89-9,HepG2,2,96,4.10E-06,4.29E-05,8.41E-05,0.510217563
874,"Methoxychlor-o,p'",72-43-5,HepG2,2,96,1.31E-05,5.75E-06,8.93E-05,0.06437867
875,Parathion,56-38-2,HepG2,2,96,4.62E-06,3.74E-05,8.46E-05,0.44251938
876,Trifluralin,1582-09-8,HepG2,2,96,1.69E-05,4.03E-06,8.60E-05,0.046854026
877,Eugenol F,97-53-0,HepG2,2,96,4.31E-07,1.20E-04,1.24E-04,0.974200527
878,Methyl-antranilate,134-20-3,HepG2,2,96,2.17E-07,1.32E-04,1.33E-04,0.99019704
879,Lilyfore,285977-85-7,HepG2,2,96,2.27E-06,7.22E-05,9.34E-05,0.77326174
880,Damascone beta,23726-91-2,HepG2,2,96,6.19E-06,1.72E-05,8.46E-05,0.202935234
881,Veloutone,14595-54-1,HepG2,2,96,1.59E-05,4.38E-06,8.67E-05,0.050571755
882,Verdox,82356-51-2,HepG2,2,96,3.59E-05,6.43E-07,8.07E-05,0.00796788
883,Nirvanol,1506-02-1,HepG2,2,96,2.29E-05,2.36E-06,8.31E-05,0.028437992
884,Cetalox,3738-00-9,HepG2,2,96,1.57E-05,3.26E-06,7.53E-05,0.043327129
885,Tonalide,21145-77-7,HepG2,2,96,2.29E-05,2.36E-06,8.31E-05,0.028437992
886,Caffeine,58-08-2,HepG2,2,96,5.36E-08,1.48E-04,1.48E-04,1.000304038
887,Lamotrigine,84057-84-1,HepG2,2,96,7.51E-07,1.09E-04,1.15E-04,0.947481012
888,Diclofenac,15307-79-6,HepG2,2,96,5.28E-08,1.50E-04,1.50E-04,0.999969329
889,"2,4-Dichlorophenoxyacetic",94-75-7,HepG2,2,96,1.50E-07,1.38E-04,1.50E-04,0.924333076
890,(S)-Naproxen,22204-53-1,HepG2,2,96,2.61E-07,1.24E-04,1.50E-04,0.828427689
891,Ibuprofen,15687-27-1,HepG2,2,96,5.54E-07,8.20E-05,1.49E-04,0.549262767
892,Torasemide,56211-40-6,HepG2,2,96,9.38E-07,1.00E-04,1.35E-04,0.743698713
893,Warfarin,81-81-2,HepG2,2,96,1.32E-07,1.41E-04,1.50E-04,0.941505608
894,di-n-butylphthalate,84-74-2,HepG2,2,96,7.77E-06,1.02E-05,9.64E-05,0.105854763
895,hexachlorophene,70-30-4,HepG2,2,96,5.05E-05,9.98E-07,9.83E-05,0.010156585
896,hexamethylenetetramine,100-97-0,HepG2,2,96,4.87E-08,1.40E-04,1.40E-04,1.000385412
897,Malathion,121-75-5,HepG2,2,96,5.09E-07,1.17E-04,1.21E-04,0.967913055
898,pentachlorophenol,87-86-5,HepG2,2,96,2.03E-06,1.21E-05,1.48E-04,0.08201945
899,"2,2,2-trichloroethanol",115-20-8,HepG2,2,96,1.02E-07,1.29E-04,1.30E-04,0.997078122
900,diethylphthalate,84-66-2,HepG2,2,96,5.89E-07,1.14E-04,1.19E-04,0.961116816
901,4-chlorophenol,106-48-9,HepG2,2,96,5.36E-07,1.16E-04,1.20E-04,0.965509205
902,permethrin,52645-53-1,HepG2,2,96,3.71E-05,5.92E-07,8.17E-05,0.007245657
903,Aniline,62-53-3,HepG2,2,96,6.86E-08,1.43E-04,1.43E-04,0.999464278
904,4-fluoroaniline,371-40-4,HepG2,2,96,8.17E-08,1.40E-04,1.40E-04,0.998681172
905,"2,4,6-trichlorophenol",88-06-2,HepG2,2,96,3.93E-06,4.41E-05,8.34E-05,0.528719239
906,Allyl alcohol,107-18-6,HepG2,2,96,5.20E-08,1.40E-04,1.40E-04,1.000235302
907,N-methylaniline,100-61-8,HepG2,2,96,1.43E-07,1.27E-04,1.28E-04,0.994431355
908,"3,4-dichloroaniline",95-76-1,HepG2,2,96,9.23E-07,1.03E-04,1.11E-04,0.930025578
909,4-decylaniline,37529-30-9,HepG2,2,96,3.40E-05,8.26E-07,8.14E-05,0.01014587
910,naphthalene,91-20-3,HepG2,2,96,1.84E-06,5.09E-05,6.82E-05,0.746223652
911,"1,2,4-trichlorobenzene",120-82-1,HepG2,2,96,7.89E-07,4.40E-06,1.26E-05,0.348332316
912,"1,2-dichlorobenzene",95-50-1,HepG2,2,96,3.20E-07,6.56E-06,9.63E-06,0.680785945
913,dichloromethane,75-09-2,HepG2,2,96,7.31E-09,1.13E-05,1.13E-05,0.998206451
914,tetrachloroethylene,127-18-4,HepG2,2,96,1.12E-07,2.45E-06,3.52E-06,0.696672964
915,"2,3-dimethyl-1,3-butadiene",513-81-5,HepG2,2,96,1.84E-09,8.67E-08,1.03E-07,0.838476732
916,cyclosporine A,59865-13-3,HepG2,2,96,1.38E-06,9.12E-05,1.03E-04,0.882653472
917,chlorpromazine,50-53-3,HepG2,2,96,1.80E-05,3.65E-06,8.55E-05,0.042757652
918,PBDE 47,5436-43-1,HepG2,2,96,4.19E-05,3.24E-07,8.25E-05,0.003929009
919,PBDE 99,60348-60-9,HepG2,2,96,4.82E-05,1.13E-07,8.44E-05,0.001342522
920,PBDE 153,68631-49-2,HepG2,2,96,5.30E-05,3.22E-08,8.65E-05,0.000372014
921,amiodarone,1951-25-3,HepG2,2,96,5.05E-05,6.63E-08,8.54E-05,0.000776636
922,PFBS,375-73-5,HepG2,2,96,1.22E-07,1.38E-04,1.39E-04,0.996361397
923,4:2 FTS,757124-72-4,HepG2,2,96,1.77E-07,1.33E-04,1.34E-04,0.992782666
924,PFNA,375-95-1,HepG2,2,96,2.94E-05,1.28E-06,8.12E-05,0.015768742
925,PFHxA,307-24-4,HepG2,2,96,6.13E-06,2.09E-05,8.68E-05,0.241309502
926,PFBA,375-22-4,HepG2,2,96,1.64E-07,1.32E-04,1.33E-04,0.993490514
927,PFOA,335-67-1,HepG2,2,96,5.61E-06,2.26E-05,8.23E-05,0.27439223
928,6:2 FTS,27619-97-2,HepG2,2,96,1.46E-06,8.64E-05,9.95E-05,0.869228551
929,8:2 FTS,39108-34-4,HepG2,2,96,6.00E-06,2.15E-05,8.59E-05,0.250477863
930,PFUnDA,2058-94-8,HepG2,2,96,6.79E-06,5.98E-06,1.43E-04,0.041751562
931,PFOS,1763-23-1,HepG2,2,96,6.79E-06,5.98E-06,1.43E-04,0.041751562
932,PFHpA,375-85-9,HepG2,2,96,3.14E-06,5.10E-05,8.16E-05,0.624882399
933,PFPeA,2706-90-3,HepG2,2,96,4.55E-07,1.14E-04,1.18E-04,0.970870084
934,PFHxS,355-46-4,HepG2,2,96,9.48E-07,1.01E-04,1.09E-04,0.926731714
935,PFDA,335-76-2,HepG2,2,96,1.28E-05,3.93E-06,1.37E-04,0.028655711
936,Azathioprine,446-86-6,HepG2,2,96,5.44E-08,1.48E-04,1.48E-04,1.000259671
937,Benzocaine,94-09-7,HepG2,2,96,2.10E-07,1.32E-04,1.33E-04,0.990681691
938,Butylated hydroxyanisole,25013-16-5,HepG2,2,96,2.91E-06,6.10E-05,8.89E-05,0.686130849
939,Cetirizine dihydrochloride,83881-52-1,HepG2,2,96,6.31E-08,1.46E-04,1.46E-04,0.999801852
940,Cyclamate,139-05-9,HepG2,2,96,5.24E-08,0.000149176,0.00014918,1.000365602
941,Cyclophosphamide,6055-19-2,HepG2,2,96,6.26E-08,0.000145875,0.000145957,0.999829995
942,Cypermethrin,67375-30-8,HepG2,2,96,3.91E-05,4.70509E-07,8.19603E-05,0.005742934
943,DEET,134-62-3,HepG2,2,96,3.67E-07,0.000123603,0.000126265,0.979296352
944,Dexamethasone,50-02-2,HepG2,2,96,2.32E-07,1.31E-04,0.000132167,0.989154705
945,Digoxin,20830-75-5,HepG2,2,96,9.24E-08,0.000141525,0.000141843,0.998152269
946,Fenazaquin,120928-09-8,HepG2,2,96,1.96E-05,3.15763E-06,8.45828E-05,0.037346358
947,Fenbuconazole,114369-43-6,HepG2,2,96,2.24E-06,7.28E-05,9.37E-05,0.777564681
948,Fluazinam,79622-59-6,HepG2,2,96,5.41E-06,2.87851E-05,8.53992E-05,0.337196496
949,Furosemide,54-31-9,HepG2,2,96,6.90E-08,0.000148186,0.00014992,0.988819057
950,Glybenclamide,10238-21-8,HepG2,2,96,1.02E-05,7.68727E-06,9.26037E-05,0.083044954
951,HC Red 3,2871-01-4,HepG2,2,96,5.46E-08,1.48E-04,1.48E-04,1.000249737
952,Hydralazine hydrochloride,304-20-1,HepG2,2,96,6.34E-08,0.000145714,0.000145802,0.999787255
953,Ketoconazole,65277-42-1,HepG2,2,96,6.79E-06,1.64E-05,9.09179E-05,0.179988856
954,Metformin,1115-70-4,HepG2,2,96,5.22E-08,0.000149416,0.000149417,1.000377836
955,Metoclopramide,364-62-5,HepG2,2,96,8.17E-07,1.07E-04,0.000113422,0.940508131
956,Nitrofurantoin,67-20-9,HepG2,2,96,5.25E-08,0.000149052,0.000149056,1.000357685
957,Oxytetracycline hydrochloride,2058-46-0,HepG2,2,96,5.20E-08,0.000149723,0.000149723,1.000387563
958,Panthenol,16485-10-2 ,HepG2,2,96,5.22E-08,1.49E-04,0.000149434,1.000378555
959,Paracetamol,103-90-2,HepG2,2,96,5.80E-08,0.000146944,0.00014699,1.000075203
960,Topiramate,97240-79-4,HepG2,2,96,5.21E-08,0.000149678,0.000149678,1.000386574
961,Trimellitic anhydride,552-30-7,HepG2,2,96,1.16E-07,0.000139088,0.000139598,0.99673725
962,Verapamil hydrochloride,152-11-4,HepG2,2,96,7.25E-06,1.28915E-05,9.39336E-05,0.137294246
963,Warfarin,129-06-6,HepG2,2,96,6.34E-07,0.000112769,0.000117854,0.957225144
964,"2,4-Dinitrophenol",51-28-5,Me_180,2,96,1.83E-07,1.36E-04,1.37E-04,0.994283919
965,Aldrin,309-00-2,Me_180,2,96,4.04E-05,5.62E-07,7.76E-05,0.007245657
966,Azinphos-methyl,86-50-0,Me_180,2,96,1.18E-06,1.00E-04,1.09E-04,0.91971443
967,Chlorpyrifos,2921-88-2,Me_180,2,96,1.31E-05,6.63E-06,8.99E-05,0.073737078
968,"DDD-p,p'",50-29-3,Me_180,2,96,4.76E-05,2.55E-07,7.95E-05,0.003201257
969,"DDT-o,p'",789-02-6,Me_180,2,96,4.21E-05,5.09E-07,7.89E-05,0.006455554
970,"DDT-p,p'",72-54-8,Me_180,2,96,3.39E-05,1.15E-06,7.92E-05,0.014475667
971,Diazinon,333-41-5,Me_180,2,96,5.17E-06,3.83E-05,8.42E-05,0.454744329
972,Dicofol,115-32-2,Me_180,2,96,1.39E-05,6.14E-06,8.91E-05,0.068955307
973,Dieldrin,60-57-1,Me_180,2,96,1.54E-05,5.38E-06,8.76E-05,0.061440283
974,Disulfoton,298-04-4,Me_180,2,96,6.21E-06,2.82E-05,8.51E-05,0.331694573
975,Endosulfan I,115-29-7,Me_180,2,96,5.27E-06,3.72E-05,8.42E-05,0.44251938
976,Endrin,72-20-8,Me_180,2,96,2.06E-05,3.49E-06,8.38E-05,0.041634285
977,Ethion,563-12-2,Me_180,2,96,1.47E-05,5.75E-06,8.83E-05,0.065127306
978,Heptachlor,76-44-8,Me_180,2,96,3.35E-05,1.19E-06,7.92E-05,0.014982094
979,Heptachlor epoxide B,1024-57-3,Me_180,2,96,1.34E-05,6.46E-06,8.97E-05,0.072120204
980,Lindane,58-89-9,Me_180,2,96,4.68E-06,4.27E-05,8.38E-05,0.510217563
981,"Methoxychlor-o,p'",72-43-5,Me_180,2,96,1.48E-05,5.68E-06,8.82E-05,0.06437867
982,Parathion,56-38-2,Me_180,2,96,5.27E-06,3.73E-05,8.42E-05,0.44251938
983,Trifluralin,1582-09-8,Me_180,2,96,1.90E-05,3.96E-06,8.46E-05,0.046854026
984,Eugenol F,97-53-0,Me_180,2,96,4.98E-07,1.20E-04,1.24E-04,0.974200527
985,Methyl-antranilate,134-20-3,Me_180,2,96,2.53E-07,1.32E-04,1.33E-04,0.99019704
986,Lilyfore,285977-85-7,Me_180,2,96,2.60E-06,7.20E-05,9.32E-05,0.77326174
987,Damascone beta,23726-91-2,Me_180,2,96,7.05E-06,1.71E-05,8.41E-05,0.202935234
988,Veloutone,14595-54-1,Me_180,2,96,1.80E-05,4.32E-06,8.54E-05,0.050571755
