,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
501,8:2 FTS,39108-34-4,Default,2,96,9.89E-06,2.09E-05,8.35E-05,0.250477863
502,PFUnDA,2058-94-8,Default,2,96,1.22E-05,5.75E-06,1.38E-04,0.041751562
503,PFOS,1763-23-1,Default,2,96,1.22E-05,5.75E-06,1.38E-04,0.041751562
504,PFHpA,375-85-9,Default,2,96,5.23E-06,5.03E-05,8.04E-05,0.624882399
505,PFPeA,2706-90-3,Default,2,96,7.66E-07,1.14E-04,1.18E-04,0.970870084
506,PFHxS,355-46-4,Default,2,96,1.59E-06,1.01E-04,1.09E-04,0.926731714
507,PFDA,335-76-2,Default,2,96,2.22E-05,3.66E-06,1.28E-04,0.028655711
508,Azathioprine,446-86-6,Default,2,96,9.04E-08,1.48E-04,1.48E-04,1.000259671
509,Benzocaine,94-09-7,Default,2,96,3.52E-07,1.32E-04,1.33E-04,0.990681691
510,Butylated hydroxyanisole,25013-16-5,Default,2,96,4.85E-06,6.02E-05,8.77E-05,0.686130849
511,Cetirizine dihydrochloride,83881-52-1,Default,2,96,1.05E-07,1.46E-04,1.46E-04,0.999801852
512,Cyclamate,139-05-9,Default,2,96,8.70E-08,0.000149142,0.000149145,1.000365602
513,Cyclophosphamide,6055-19-2,Default,2,96,1.04E-07,0.000145835,0.000145916,0.999829995
514,Cypermethrin,67375-30-8,Default,2,96,5.62E-05,3.97923E-07,6.93161E-05,0.005742934
515,DEET,134-62-3,Default,2,96,6.16E-07,0.000123396,0.000126054,0.979296352
516,Dexamethasone,50-02-2,Default,2,96,3.89E-07,1.31E-04,0.000132028,0.989154705
517,Digoxin,20830-75-5,Default,2,96,1.54E-07,0.000141467,0.000141784,0.998152269
518,Fenazaquin,120928-09-8,Default,2,96,3.05E-05,2.89346E-06,7.75067E-05,0.037346358
519,Fenbuconazole,114369-43-6,Default,2,96,3.74E-06,7.21E-05,9.27E-05,0.777564681
520,Fluazinam,79622-59-6,Default,2,96,8.93E-06,2.80837E-05,8.33185E-05,0.337196496
521,Furosemide,54-31-9,Default,2,96,1.18E-07,0.000148137,0.000149871,0.988819057
522,Glybenclamide,10238-21-8,Default,2,96,1.66E-05,7.33875E-06,8.84053E-05,0.083044954
523,HC Red 3,2871-01-4,Default,2,96,9.07E-08,1.48E-04,1.48E-04,1.000249737
524,Hydralazine hydrochloride,304-20-1,Default,2,96,1.05E-07,0.000145673,0.000145761,0.999787255
525,Ketoconazole,65277-42-1,Default,2,96,1.12E-05,1.59E-05,8.81499E-05,0.179988856
526,Metformin,1115-70-4,Default,2,96,8.66E-08,0.000149381,0.000149383,1.000377836
