Dataset,Compound,CAS,MW,MP,log_KOW,log_KAW,Solubility,pKa
107 chemicals,Perfluorooctanesulfonic_acid,1763-23-1,500.13,22.8,5.95,-3.51,570.1482,-3
107 chemicals,Perfluoroheptanoic_acid,375-85-9,364.06,35.4,3.53,-3.03,117955.44,
107 chemicals,Perfluoropentanoic_acid,2706-90-3,264.05,1.5,2.32,-3.59,119.8787,
107 chemicals,Perfluorohexanesulfonic_acid,355-46-4,400.11,190,2.71,-4.07,243.26688,
107 chemicals,Perfluorodecanoic_acid,335-76-2,514.08,90,6.4,-2.19,1156.68,0
107 chemicals,cyclosporine A,59865-13-3,1202.61,150,2.92,-45.2,0.67706943,
107 chemicals,chlorpromazine,50-53-3,318.86,151,5.41,-6.97,2.2128884,
107 chemicals,PBDE 47,5436-43-1,485.79,152,6.81,-3.56,0.04420689,
107 chemicals,PBDE 99,60348-60-9,564.69,177,7.32,-4.01,0.014343126,
107 chemicals,PBDE 153,68631-49-2,643.58,197,7.9,-4.37,0.001950047,
107 chemicals,amiodarone,1951-25-3,645.31,238,7.57,-10.7,0.4168,
107 chemicals,Azathioprine,446-86-6,277.26,244,0.1,-15.1,100.09086,
107 chemicals,Benzocaine,94-09-7,165.19,92,1.86,-6.33,834.2095,
107 chemicals,Butylated hydroxyanisole,25013-16-5,180.24,64.9,3.42,-4.8,358.6776,
107 chemicals,Cetirizine dihydrochloride,83881-52-1,388.89,249,0.715,-16.6,443.3346,
107 chemicals,Cyclamate,139-05-9,179.24,107,-0.585,-9.77,874691.2,
107 chemicals,Cyclophosphamide,6055-19-2,261.09,61.5,0.695,-10.2,46212.93,
107 chemicals,Cypermethrin,67375-30-8,416.3,102,6.62,-6.45,0.01477865,
107 chemicals,DEET,134-62-3,191.27,-45,2.18,-6.57,916.1833,
107 chemicals,Dexamethasone,50-02-2,392.46,248,1.92,-18.8,78.492,
107 chemicals,Digoxin,20830-75-5,780.94,426,1.26,-30.7,59.195252,
107 chemicals,Fenazaquin,120928-09-8,306.4,78.5,5.51,-7.24,0.1495232,
107 chemicals,Fenbuconazole,114369-43-6,336.82,125,3.23,-10,0.3738702,
107 chemicals,Fluazinam,79622-59-6,465.09,113,4.01,-4.7,0.4883445,
107 chemicals,Furosemide,54-31-9,330.74,261,2.03,-16.3,43.98842,3.62
107 chemicals,Glybenclamide,10238-21-8,494,169,4.85,-18,4.00634,
107 chemicals,HC Red 3,2871-01-4,197.19,152,0.13,-11.8,121074.66,
107 chemicals,Hydralazine hydrochloride,304-20-1,160.18,163,0.725,-11.6,211437.6,
107 chemicals,Ketoconazole,65277-42-1,531.43,146,4.35,-20,83.96594,
107 chemicals,Metformin,1115-70-4,129.16,74.3,-0.87,-9.13,1016489.2,
107 chemicals,Metoclopramide,364-62-5,299.8,147,2.62,-12.3,174.7834,
107 chemicals,Nitrofurantoin,67-20-9,238.16,263,-0.47,-12.7,96.21664,
107 chemicals,Oxytetracycline hydrochloride,2058-46-0,460.43,460,-1.53,-28.9,501868.7,
107 chemicals,Panthenol,16485-10-2 ,205.25,164,-0.895,-15,1034460,
107 chemicals,Paracetamol,103-90-2,151.16,170,0.46,-10.9,14224.156,
107 chemicals,Topiramate,97240-79-4,339.36,165,-1.39,-18,264022.08,
107 chemicals,Trimellitic anhydride,552-30-7,192.13,162,1.46,-10.2,15754.66,
107 chemicals,Verapamil hydrochloride,152-11-4,454.6,200,4.48,-16.2,2.29573,
107 chemicals,Warfarin,129-06-6,308.33,175,2.48,-11.6,82.94077,
15 chemicals,"1,2,3-trichlorobenzene",87-61-6,181.45,53.5,4.08,-0.99,19.41515,
15 chemicals,acenaphthene,83-32-9,154.21,93.4,3.92,-2.49,5.644086,
15 chemicals,aldrin,309-00-2,364.91,129,6.5,-1.68,0.026310011,
15 chemicals,azinphos-methyl,86-50-0,317.32,73,2.75,-13.3,23.132628,
15 chemicals,benzidine,92-87-5,184.24,120,1.34,-9.29,335.3168,
15 chemicals,chlorpyrifos,2921-88-2,350.59,42,4.96,-4.17,1.1499352,
15 chemicals,dicofol,115-32-2,370.49,77.5,5.02,-6.03,0.8632417,
15 chemicals,dieldrin,60-57-1,380.91,202,5.12,-4.26,0.20835777,
15 chemicals,endosulfan,115-29-7,406.93,106,3.83,-4.96,0.40570921,
15 chemicals,fluoranthene,206-44-0,202.25,108,5.16,-3.89,0.25079,
15 chemicals,gamma-hexachlorocyclohexane,58-89-9,290.83,75.2,3.72,-3.77,4.449699,
15 chemicals,heptachlor,76-44-8,373.32,95.5,6.1,-2.92,0.14223492,
15 chemicals,naphthalene,91-20-3,128.17,80.2,3.3,-2.41,31.65799,
15 chemicals,p-cresol,106-44-5,108.14,35.5,1.94,-4.56,21519.86,10.2
15 chemicals,pentachlorophenol,87-86-5,266.34,174,5.12,-5.02,40.48368,4.7
