List,SubstanceName,CASRN,DTXSID,Molecular Weight,OPERABoilingPoint,OPERAHenryLawConstant,OPERAMeltingPoint,OPERAOctanolAirPartitionCoefficient,OPERAOctanolWaterDistributionCoefficient,OPERAOctanolWaterPartitionCoefficient,OPERAVaporPressure,OPERAWaterSolubility
Custom Chemical List 1,Endosulfan,115-29-7,DTXSID1020560,403.817,365,-4.62,106,8.81,3.83,3.83,-6.76,-5.99
Custom Chemical List 1,"4-(4-Chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",114369-43-6,DTXSID8032548,336.114,349,-5.41,125,10.09,3.23,3.23,-7.43,-5.95
Custom Chemical List 1,Glybenclamide,10238-21-8,DTXSID0037237,493.144,273,-9.72,169,9.47,1.63,1.79,-9.03,-5.09
Custom Chemical List 1,Torsemide,56211-40-6,DTXSID2023690,348.126,265,-10.7,182,9.35,1.82,3.37,-10.3,-2.76
Custom Chemical List 1,Azinphos-methyl,86-50-0,DTXSID3020122,317.006,335,-7,73,9.83,2.75,2.75,-5.8,-4.14
Custom Chemical List 1,Eugenol,97-53-0,DTXSID9020617,164.084,253,-6.66,-9,7.72,2.27,2.27,-1.65,-2.29
Custom Chemical List 1,Metformin hydrochloride,1115-70-4,DTXSID9037246,129.101,257,-8.45,161,5.93,-7.46,0.32,-9.18,-1.23
Custom Chemical List 1,Perfluorononanoic acid,375-95-1,DTXSID8031863,463.971,190,-8.93,69,4.2,-1.73,3.54,-2.07,-2.55
Custom Chemical List 1,"2,2',4,4'-Tetrabromodiphenyl ether",5436-43-1,DTXSID3030056,481.715,376,-3.43,182,10.53,6.81,6.81,-7.15,-6.91
Custom Chemical List 1,Perfluorooctanoic acid,335-67-1,DTXSID8031865,413.974,189,-9.72,54,4.16,-2.05,3.11,-0.96,-1.48
Custom Chemical List 1,Tonalide,21145-77-7,DTXSID7041544,258.198,324,-4.32,54,7.93,5.7,5.7,-4.4,-5.31
Custom Chemical List 1,Diclofenac sodium,15307-79-6,DTXSID3037208,295.017,317,-9.8,284,9.3,-2.62,0.7,-8.58,-5.21
