"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"25","ibuprofen","15687-27-1","Fischer et al. (2017)",0.0375,0.1952142,0.2,100,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.42596873227228,-0.709488594674744,0.716480137597537,0.716480137597537
"26","ibuprofen","15687-27-1","Fischer et al. (2017)",0.000510903,0.01426418,0.015,10,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.29166154715211,-1.84575318942654,1.44590835772557,1.44590835772557
"27","ibuprofen","15687-27-1","Fischer et al. (2017)",0.023037626,0.142641801,0.15,100,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.63756227647368,-0.845753186381888,0.791809090091792,0.791809090091792
"28","cyclosporine A","59865-13-3","Armitage et al. (2021)",6.32e-05,0.001148251,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.19928292171762,-2.93996316768727,1.25931975403034,1.25931975403034
"29","cyclosporine A","59865-13-3","Armitage et al. (2021)",2.81e-05,0.001148251,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-2.93996316768727,1.61133051240765,1.61133051240765
"30","cyclosporine A","59865-13-3","Armitage et al. (2021)",2.81e-05,0.001148251,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-2.93996316768727,1.61133051240765,1.61133051240765
"31","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.004589474,0.001420565,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.33823708613762,-2.84753888971614,-0.509301803578523,0.509301803578523
"32","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.000598246,0.001420565,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.2231201964901,-2.84753888971614,0.375581306773958,0.375581306773958
"33","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.001914035,0.001420565,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.71805012498766,-2.84753888971614,-0.129488764728483,0.129488764728483
"34","cyclosporine A","59865-13-3","Armitage et al. (2021)",7.42e-05,0.000913587,0.001,0.5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.12959609472097,-3.03925008890168,1.09034600581929,1.09034600581929
"35","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.001138061,0.001609426,0.01,5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.9438344591594,-2.79332898699979,0.150505472159609,0.150505472159609
"36","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.000267949,0.000276849,0.000375,0.25,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.57194785942758,-3.55775704085447,0.0141908185731086,0.0141908185731086
"37","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.001483226,0.001065424,0.00375,2.5,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.82879267022927,-2.97247752441794,-0.143684854188666,0.143684854188666
"38","chlorpromazine","50-53-3","Armitage et al. (2021)",0.003070137,0.003201287,0.0034,1.7,"Balb/c 3T3","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.51284224438715,-2.49467538898334,0.018166855403805,0.018166855403805
"39","chlorpromazine","50-53-3","Armitage et al. (2021)",0.003951691,0.009262906,0.01,5,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.40321702214147,-2.03325274314806,0.369964278993403,0.369964278993403
"40","chlorpromazine","50-53-3","Armitage et al. (2021)",0.013632266,0.027788717,0.03,15,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-1.86543194831057,-1.55613150405685,0.309300444253719,0.309300444253719
"41","chlorpromazine","50-53-3","Armitage et al. (2021)",0.000729124,0.001223961,0.0034,1.7,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.13719860620023,-2.91223242022529,0.224966185974942,0.224966185974942
"42","chlorpromazine","50-53-3","Armitage et al. (2021)",0.00149,0.003599884,0.01,5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.82681373158773,-2.44371149339148,0.383102238196245,0.383102238196245
"43","chlorpromazine","50-53-3","Armitage et al. (2021)",0.00547365,0.010799652,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.26172297600304,-1.96659023867182,0.295132737331224,0.295132737331224
"44","chlorpromazine","50-53-3","Armitage et al. (2021)",0.000182609,5.58e-05,0.002,1,"PHH","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.73847782179616,-4.25336580106242,-0.514887979266262,0.514887979266262
"45","chlorpromazine","50-53-3","Armitage et al. (2021)",0.000178751,0.001130966,0.003,1.5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.7477515199142,-2.94655045098466,0.801201068929542,0.801201068929542
