"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"25","ibuprofen","15687-27-1","Fischer et al. (2017)",0.000123274,0.0047858,0.2,100,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.90912851178399,-2.32004545463844,1.58908305714556,1.58908305714556
"26","ibuprofen","15687-27-1","Fischer et al. (2017)",0.000410317,0.00073582,0.015,10,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.38688048924014,-3.13322841197704,0.253652077263101,0.253652077263101
"27","ibuprofen","15687-27-1","Fischer et al. (2017)",0.009471879,0.007358199,0.15,100,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-2.02356385854852,-2.13322847099888,-0.109664612450365,0.109664612450365
"28","amiodarone","1951-25-3","Fischer et al. (2017)",0.000117512,0.000496964,5e-04,0.25,"PHH","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-3.92991778217795,-3.30367507035644,0.626242711821502,0.626242711821502
"29","amiodarone","1951-25-3","Fischer et al. (2017)",0.002018182,0.004969644,0.005,2.5,"PHH","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-2.69503967158196,-2.30367472079848,0.391364950783477,0.391364950783477
"30","amiodarone","1951-25-3","Fischer et al. (2017)",0.000235397,0.000425555,0.002,1,"HepaRG","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-3.62819907629185,-3.37104430243515,0.257154773856705,0.257154773856705
"31","amiodarone","1951-25-3","Fischer et al. (2017)",0.001121495,0.002127773,0.01,5,"HepaRG","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-2.95020265830683,-2.67207470631399,0.278127951992839,0.278127951992839
"32","PBDE 47","5436-43-1","Fischer et al. (2017)",0.00014,0.000669495,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-3.85387196432176,-3.17425266208815,0.679619302233616,0.679619302233616
"33","PBDE 99","60348-60-9","Fischer et al. (2017)",0.000126,0.000669495,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-3.89962945488244,-3.17425266208815,0.725376792794291,0.725376792794291
"34","PBDE 153","68631-49-2","Fischer et al. (2017)",0.000156696,0.000669495,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-3.80494208968393,-3.17425266208815,0.630689427595785,0.630689427595785
"35","PBDE 47","5436-43-1","Fischer et al. (2017)",0.000572112,0.003667234,0.00367,3.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-3.24251894284939,-2.43566137755878,0.806857565290612,0.806857565290612
"36","PBDE 99","60348-60-9","Fischer et al. (2017)",0.000643493,0.003667234,0.00367,3.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-3.19145617304539,-2.43566137755878,0.755794795486613,0.755794795486613
"37","PBDE 153","68631-49-2","Fischer et al. (2017)",0.000675033,0.003667234,0.00367,3.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-3.1706749955133,-2.43566137755878,0.735013617954521,0.735013617954521
"38","PBDE 47","5436-43-1","Fischer et al. (2017)",0.0016732,0.010661957,0.01067,10.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-2.77645214409141,-1.97216307333051,0.804289070760902,0.804289070760902
"39","PBDE 99","60348-60-9","Fischer et al. (2017)",0.0014682,0.010661957,0.01067,10.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-2.83321478026457,-1.97216307333051,0.861051706934062,0.861051706934062
"40","PBDE 153","68631-49-2","Fischer et al. (2017)",0.0008782,0.010661957,0.01067,10.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-3.05640656723163,-1.97216307333051,1.08424349390113,1.08424349390113
"41","PBDE 47","5436-43-1","Fischer et al. (2017)",0.004341062,0.030646881,0.03067,30.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-2.36240401142792,-1.51361371799435,0.848790293433573,0.848790293433573
"42","PBDE 99","60348-60-9","Fischer et al. (2017)",0.002289084,0.030646881,0.03067,30.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-2.6403382702057,-1.51361371799435,1.12672455221135,1.12672455221135
"43","PBDE 153","68631-49-2","Fischer et al. (2017)",0.001286152,0.030646881,0.03067,30.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-2.89070770259349,-1.51361371799435,1.37709398459915,1.37709398459915
"44","cyclosporine A","59865-13-3","Armitage et al. (2021)",3.16e-05,0.000147086,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.5003129173816,-3.83242866250087,0.667884254880725,0.667884254880725
"45","cyclosporine A","59865-13-3","Armitage et al. (2021)",3.16e-05,0.000147086,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.5003129173816,-3.83242866250087,0.667884254880725,0.667884254880725
"46","cyclosporine A","59865-13-3","Armitage et al. (2021)",5.79e-05,0.000147086,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.23732143627256,-3.83242866250087,0.404892773771692,0.404892773771692
"47","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.00479,0.000182,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.31966448658544,-3.73992861201493,-1.42026412542949,1.42026412542949
"48","cyclosporine A","59865-13-3","Armitage et al. (2021)",6e-04,0.000182,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.22184874961636,-3.73992861201493,-0.518079862398569,0.518079862398569
"49","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.001220175,0.000181968,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.91357787745318,-3.74000497819798,-0.826427100744795,0.826427100744795
"50","cyclosporine A","59865-13-3","Armitage et al. (2021)",7.57e-06,1.29e-05,0.001,0.5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-5.12090412049993,-4.88941028970075,0.231493830799176,0.231493830799176
"51","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.000259,2.27e-05,0.01,5,"HepaRG","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.58670023591875,-4.64397414280688,-1.05727390688813,1.05727390688813
"52","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.000303,7.29e-05,0.000375,0.25,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-3.5185573714977,-4.13727247168203,-0.61871510018433,0.61871510018433
"53","cyclosporine A","59865-13-3","Armitage et al. (2021)",0.002466738,0.00028061,0.00375,2.5,"PRH","Non-human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.60787697584337,-3.55189685623199,-0.94401988038861,0.94401988038861
"54","chlorpromazine","50-53-3","Armitage et al. (2021)",0.000355888,0.000185,0.0034,1.7,"Balb/c 3T3","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.44868665549614,-3.73282827159699,-0.284141616100848,0.284141616100848
"55","chlorpromazine","50-53-3","Armitage et al. (2021)",0.005102804,0.000699,0.01,5,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.29219111270896,-3.15552282425432,-0.863331711545357,0.863331711545357
"56","chlorpromazine","50-53-3","Armitage et al. (2021)",0.0163,0.002098067,0.03,15,"Caco-2","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-1.78781239559604,-2.67818064709304,-0.890368251497001,0.890368251497001
"57","chlorpromazine","50-53-3","Armitage et al. (2021)",0.003,0.002129987,0.0034,1.7,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.52287874528034,-2.67162304719295,-0.148744301912612,0.148744301912612
"58","chlorpromazine","50-53-3","Armitage et al. (2021)",0.00922441,0.006264667,0.01,5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.03506140207281,-2.20310200909219,-0.168040607019373,0.168040607019373
"59","chlorpromazine","50-53-3","Armitage et al. (2021)",0.022962617,0.018794,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-1.63897861784673,-1.72598077748067,-0.0870021596339439,0.0870021596339439
"60","chlorpromazine","50-53-3","Armitage et al. (2021)",8.45e-05,0.001942845,0.002,1,"PHH","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-4.07314329105031,-2.71156184599303,1.36158144505727,1.36158144505727
"61","chlorpromazine","50-53-3","Armitage et al. (2021)",0.001049327,0.001858824,0.003,1.5,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.97908915225883,-2.73076172881191,0.248327423446915,0.248327423446915
"62","chlorpromazine","50-53-3","Armitage et al. (2021)",0.009988789,0.018588244,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.00048716067263,-1.73076163535617,0.269725525316457,0.269725525316457
"63","chlorpromazine","50-53-3","Armitage et al. (2021)",8.08e-05,0.0029,0.003,2,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-4.09258863922541,-2.53760200210104,1.55498663712437,1.55498663712437
"64","chlorpromazine","50-53-3","Armitage et al. (2021)",0.000513,0.029,0.03,20,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.28988263488818,-1.53760200210104,1.75228063278714,1.75228063278714
"65","ibuprofen","15687-27-1","Armitage et al. (2021)",0.000164,0.012,0.2,100,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.7851561519523,-1.92081875395238,1.86433739799993,1.86433739799993
"66","ibuprofen","15687-27-1","Armitage et al. (2021)",0.016595345,0.0206,2,1000,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.78001371462996,-1.68613277963085,0.0938809349991119,0.0938809349991119
"67","ibuprofen","15687-27-1","Armitage et al. (2021)",6.16e-05,0.00068,0.02,10,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-4.21041928783557,-3.16749108729376,1.04292820054181,1.04292820054181
