"","Chemical","CAS","Model","Obs.val","pre.val","ref","Cell.type","Data.source","MassBalanceIssue","IOC","conc","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"22","Aldrin","309-00-2","Fischer et al. (2017)",0.0066,0.002799,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.18045606445813,-2.55299710153384,-0.372541037075707,0.372541037075707
"23","Azinphos-methyl","86-50-0","Fischer et al. (2017)",0.3653,0.455,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.437350327788083,-0.341988603342888,0.0953617244451958,0.0953617244451958
"24","Chlorpyrifos","2921-88-2","Fischer et al. (2017)",0.00373333333333333,0.069856586,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.42790323204948,-1.1557926428265,1.27211058922298,1.27211058922298
"25","DDD-p,p'","50-29-3","Fischer et al. (2017)",0.0024,0.000182363,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.61978875828839,-3.7390632719607,-1.11927451367231,1.11927451367231
"26","DDT-o,p'","789-02-6","Fischer et al. (2017)",0.0039,0.000482435,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.4089353929735,-3.31656119225374,-0.907625799280241,0.907625799280241
"27","DDT-p,p'","72-54-8","Fischer et al. (2017)",0.0015,0.0005083,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.82390874094432,-3.2938798902973,-0.469971149352978,0.469971149352978
"28","Diazinon","333-41-5","Fischer et al. (2017)",0.0183,0.272632608,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.73754891026957,-0.564422201958622,1.17312670831095,1.17312670831095
"29","Dicofol","115-32-2","Fischer et al. (2017)",0.0281333333333333,0.0145,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.55077880809401,-1.83863199776503,-0.287853189671018,0.287853189671018
"30","Dieldrin","60-57-1","Fischer et al. (2017)",0.0186666666666667,0.012606874,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.72893322771346,-1.89939258772131,-0.17045936000785,0.17045936000785
"31","Disulfoton","298-04-4","Fischer et al. (2017)",0.6044,0.214125215,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.218675544333012,-0.66933218795747,-0.450656643624458,0.450656643624458
"32","Endosulfan I","115-29-7","Fischer et al. (2017)",0.0240333333333333,0.136912449,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.61918599000023,-0.863557061097576,0.755628928902658,0.755628928902658
"33","Endrin","72-20-8","Fischer et al. (2017)",0.0227666666666667,0.102730395,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.64270055103813,-0.988301042013468,0.654399509024662,0.654399509024662
"34","Ethion","563-12-2","Fischer et al. (2017)",0.0012,0.084710254,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.92081875395238,-1.07206401604382,1.84875473790856,1.84875473790856
"35","Heptachlor","76-44-8","Fischer et al. (2017)",0.0099,0.005303188,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.00436480540245,-2.27546297670656,-0.271098171304112,0.271098171304112
"36","Heptachlor epoxide B","1024-57-3","Fischer et al. (2017)",0.0290666666666667,0.008431,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.5366047697871,-2.0741209106985,-0.537516140911404,0.537516140911404
