"","Chemical","CAS","Model","Obs.val","pre.val","ref","Cell.type","Data.source","MassBalanceIssue","IOC","conc","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"228","Ibuprofen","15687-27-1","Fischer et al. (2017)",0.196,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","A",10,0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-0.707743928643524,0,0.707743928643524,0.707743928643524
"229","Ketoconazole","65277-42-1","Fischer et al. (2017)",0.296,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","B",10,0.004526021,531.43,146,4.35,-20,83.96594,6.6,-0.528708288941061,0,0.528708288941061,0.528708288941061
"230","Metformin","1115-70-4","Fischer et al. (2017)",0.57,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","B",10,0.000359515,129.16,74.3,-0.87,-9.13,1016489.2,9.6,-0.244125144327509,0,0.244125144327509,0.244125144327509
"231","Metoclopramide","364-62-5","Fischer et al. (2017)",0.752,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","B",10,2.0217e-05,299.8,147,2.62,-12.3,174.7834,9,-0.123782159408358,0,0.123782159408358,0.123782159408358
"232","Nitrofurantoin","67-20-9","Fischer et al. (2017)",0.9485,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","A",10,0.001464592,238.16,263,-0.47,-12.7,96.21664,7.3,-0.0229626647753186,0,0.0229626647753186,0.0229626647753186
"233","Oxytetracycline hydrochloride","2058-46-0","Fischer et al. (2017)",0.95,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","A",10,1.36684e-06,460.43,460,-1.53,-28.9,501868.7,4.5,-0.0222763947111523,0,0.0222763947111523,0.0222763947111523
"234","Panthenol","16485-10-2 ","Fischer et al. (2017)",0.448,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","N",10,0.001163367,205.25,164,-0.895,-15,1034460,NA,-0.348721986001856,0,0.348721986001856,0.348721986001856
"235","Paracetamol","103-90-2","Fischer et al. (2017)",0.611,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","N",10,0.000583065,151.16,170,0.46,-10.9,14224.156,NA,-0.213958789757446,0,0.213958789757446,0.213958789757446
"236","Topiramate","97240-79-4","Fischer et al. (2017)",0.762,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","A",10,0.00094562,339.36,165,-1.39,-18,264022.08,9.2,-0.118045028660399,0,0.118045028660399,0.118045028660399
"237","Trimellitic anhydride","552-30-7","Fischer et al. (2017)",0.931,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","A",10,2.26838e-06,192.13,162,1.46,-10.2,15754.66,3.3,-0.0310503190186574,0,0.0310503190186574,0.0310503190186574
"238","Verapamil hydrochloride","152-11-4","Fischer et al. (2017)",0.563,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","B",10,0.047393263,454.6,200,4.48,-16.2,2.29573,9.2,-0.249491605148654,0,0.249491605148654,0.249491605148654
"239","Warfarin","129-06-6","Fischer et al. (2017)",0.388,1,"Nicol et al. (HepRG)","Cell-free","Literature","0","N",10,3.76458e-06,308.33,175,2.48,-11.6,82.94077,NA,-0.411168274405793,0,0.411168274405793,0.411168274405793
"240","Azathioprine","446-86-6","Fischer et al. (2017)",0.95,1.001430764,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,0.004962684,277.26,244,0.1,-15.1,100.09086,8.2,-0.0222763947111523,0.000620928814657355,0.0228973235258096,0.0228973235258096
"241","Benzocaine","94-09-7","Fischer et al. (2017)",0.81,0.73033565,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,0.000299031,165.19,92,1.86,-6.33,834.2095,NA,-0.0915149811213502,-0.136477499549709,-0.0449625184283591,0.0449625184283591
"242","Butylated hydroxyanisole","25013-16-5","Fischer et al. (2017)",0.254,0.187354964,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,NA,180.24,64.9,3.42,-4.8,358.6776,NA,-0.595166283380062,-0.727334795715375,-0.132168512335313,0.132168512335313
"243","Cetirizine dihydrochloride","83881-52-1","Fischer et al. (2017)",0.638,1.004954369,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,1.061e-05,388.89,249,0.715,-16.6,443.3346,4.7,-0.195179321278838,0.00214634261082679,0.197325663889664,0.197325663889664
"244","Chlorpyrifos","2921-88-2","Fischer et al. (2017)",0.005,0.062259722,"Nicol et al. (MCF7)","Cell-free","Literature","1","N",10,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.30102999566398,-1.20579282284617,1.09523717281781,1.09523717281781
"245","Cyclamate","139-05-9","Fischer et al. (2017)",0.417,1.005506387,"Nicol et al. (MCF7)","Cell-free","Literature","0","B",10,0.001431254,179.24,107,-0.585,-9.77,874691.2,17.6,-0.379863945026242,0.00238483359019106,0.382248778616434,0.382248778616434
"246","Cyclophosphamide","6055-19-2","Fischer et al. (2017)",0.8,0.963755587,"Nicol et al. (MCF7)","Cell-free","Literature","0","B",10,0.1061003,261.09,61.5,0.695,-10.2,46212.93,6.1,-0.0969100130080564,-0.0160330912795212,0.0808769217285352,0.0808769217285352
"247","Cypermethrin","67375-30-8","Fischer et al. (2017)",0.005,0.00058302,"Nicol et al. (MCF7)","Cell-free","Literature","1","N",10,0.000211698,416.3,102,6.62,-6.45,0.01477865,NA,-2.30102999566398,-3.23431654688652,-0.933286551222536,0.933286551222536
"248","DEET","134-62-3","Fischer et al. (2017)",0.815,0.804469766,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,0.014645918,191.27,-45,2.18,-6.57,916.1833,NA,-0.0888423912600234,-0.094490273138725,-0.00564788187870158,0.00564788187870158
"249","Dexamethasone","50-02-2","Fischer et al. (2017)",0.702,0.657361737,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,6.69448e-06,392.46,248,1.92,-18.8,78.492,NA,-0.153662887870195,-0.182195578461537,-0.0285326905913426,0.0285326905913426
"250","Digoxin","20830-75-5","Fischer et al. (2017)",0.654,0.985400787,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,1.33572e-05,780.94,426,1.26,-30.7,59.195252,NA,-0.184422251675733,-0.00638709520742513,0.178035156468308,0.178035156468308
"251","Fenazaquin","120928-09-8","Fischer et al. (2017)",0.005,0.005211599,"Nicol et al. (MCF7)","Cell-free","Literature","1","N",10,0.136683664,306.4,78.5,5.51,-7.24,0.1495232,NA,-2.30102999566398,-2.28302900792243,0.0180009877415528,0.0180009877415528
"252","Fenbuconazole","114369-43-6","Fischer et al. (2017)",0.162,0.242462748,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,0.394199993,336.82,125,3.23,-10,0.3738702,NA,-0.790484985457369,-0.61535497698253,0.175130008474839,0.175130008474839
"253","Fluazinam","79622-59-6","Fischer et al. (2017)",0.005,0.03943615,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,1.60589e-06,465.09,113,4.01,-4.7,0.4883445,NA,-2.30102999566398,-1.40410549016515,0.89692450549883,0.89692450549883
"254","Furosemide","54-31-9","Fischer et al. (2017)",0.521,1.005211989,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,2.54517e-05,330.74,261,2.03,-16.3,43.98842,3,-0.283162276700476,0.00225765971112067,0.285419936411596,0.285419936411596
"255","Glybenclamide","10238-21-8","Fischer et al. (2017)",0.116,0.548812104,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,1.93071e-05,494,169,4.85,-18,4.00634,5,-0.935542010773082,-0.260576318871202,0.67496569190188,0.67496569190188
"256","HC Red 3","2871-01-4","Fischer et al. (2017)",0.91,0.988038745,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,0.0090306,197.19,152,0.13,-11.8,121074.66,NA,-0.0409586076789064,-0.00522602463324766,0.0357325830456587,0.0357325830456587
"257","Hydralazine hydrochloride","304-20-1","Fischer et al. (2017)",0.14,0.961430707,"Nicol et al. (MCF7)","Cell-free","Literature","1","B",10,0.004422997,160.18,163,0.725,-11.6,211437.6,6,-0.853871964321762,-0.0170820111155401,0.836789953206222,0.836789953206222
"258","Ibuprofen","15687-27-1","Fischer et al. (2017)",0.169,0.805790403,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-0.772113295386326,-0.0937779093836832,0.678335386002643,0.678335386002643
"259","Ketoconazole","65277-42-1","Fischer et al. (2017)",0.279,0.170531041,"Nicol et al. (MCF7)","Cell-free","Literature","0","B",10,0.004526021,531.43,146,4.35,-20,83.96594,6.6,-0.554395796726402,-0.768196556800508,-0.213800760074106,0.213800760074106
"260","Metformin","1115-70-4","Fischer et al. (2017)",0.441,1.005413146,"Nicol et al. (MCF7)","Cell-free","Our data","0","B",10,0.000359515,129.16,74.3,-0.87,-9.13,1016489.2,9.6,-0.355561410532161,0.00234455942590783,0.357905969958069,0.357905969958069
"261","Metoclopramide","364-62-5","Fischer et al. (2017)",0.876,0.934987853,"Nicol et al. (MCF7)","Cell-free","Our data","0","B",10,2.0217e-05,299.8,147,2.62,-12.3,174.7834,9,-0.0574958938319193,-0.0291940312765083,0.028301862555411,0.028301862555411
"262","Nitrofurantoin","67-20-9","Fischer et al. (2017)",0.968,1.001811525,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,0.001464592,238.16,263,-0.47,-12.7,96.21664,7.3,-0.0141246426916063,0.000786023575409303,0.0149106662670156,0.0149106662670156
"263","Oxytetracycline hydrochloride","2058-46-0","Fischer et al. (2017)",0.95,1.005496269,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,1.36684e-06,460.43,460,-1.53,-28.9,501868.7,4.5,-0.0222763947111523,0.00238046344025132,0.0246568581514036,0.0246568581514036
"264","Panthenol","16485-10-2 ","Fischer et al. (2017)",0.268,1.002216962,"Nicol et al. (MCF7)","Cell-free","Our data","0","N",10,0.001163367,205.25,164,-0.895,-15,1034460,NA,-0.571865205971211,0.000961748676528362,0.572826954647739,0.572826954647739
"265","Paracetamol","103-90-2","Fischer et al. (2017)",0.638,0.950032223,"Nicol et al. (MCF7)","Cell-free","Our data","0","N",10,0.000583065,151.16,170,0.46,-10.9,14224.156,NA,-0.195179321278838,-0.0222616641492993,0.172917657129538,0.172917657129538
"266","Topiramate","97240-79-4","Fischer et al. (2017)",0.95,1.005430277,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,0.00094562,339.36,165,-1.39,-18,264022.08,9.2,-0.0222763947111523,0.00235195920520901,0.0246283539163613,0.0246283539163613
"267","Trimellitic anhydride","552-30-7","Fischer et al. (2017)",0.91,1.005317129,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,2.26838e-06,192.13,162,1.46,-10.2,15754.66,3.3,-0.0409586076789064,0.00230308230307436,0.0432616899819807,0.0432616899819807
"268","Verapamil hydrochloride","152-11-4","Fischer et al. (2017)",0.625,0.453533243,"Nicol et al. (MCF7)","Cell-free","Our data","0","B",10,0.047393263,454.6,200,4.48,-16.2,2.29573,9.2,-0.204119982655925,-0.343390874596522,-0.139270891940597,0.139270891940597
"269","Warfarin","129-06-6","Fischer et al. (2017)",0.412,0.060981337,"Nicol et al. (MCF7)","Cell-free","Our data","0","N",10,3.76458e-06,308.33,175,2.48,-11.6,82.94077,NA,-0.385102783966865,-1.21480305807236,-0.829700274105496,0.829700274105496
"270","2,4-Dinitrophenol","51-28-5","Fisher et al. (2019)",0.302633333333333,0.983055,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","A",10,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-0.519083238621326,-0.00742218356328728,0.511661055058038,0.511661055058038
"271","Aldrin","309-00-2","Fisher et al. (2019)",0.00166666666666667,0.00452992,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.77815125038364,-2.34390946771462,0.434241782669027,0.434241782669027
"272","Azinphos-methyl","86-50-0","Fisher et al. (2019)",0.420233333333333,0.799693,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.376509501885872,-0.0970767055016551,0.279432796384217,0.279432796384217
"273","Chlorpyrifos","2921-88-2","Fisher et al. (2019)",0.00266666666666667,0.0234532,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.57403126772772,-1.62979789292637,0.944233374801346,0.944233374801346
"274","DDD-p,p'","50-29-3","Fisher et al. (2019)",0.00316666666666667,0.00250731,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.49939764943081,-2.60079196721201,-0.101394317781195,0.101394317781195
"275","DDT-o,p'","789-02-6","Fisher et al. (2019)",0.00163333333333333,0.00418893,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.78692517469115,-2.37789689694786,0.409028277743287,0.409028277743287
"276","DDT-p,p'","72-54-8","Fisher et al. (2019)",0.00123333333333333,0.00730046,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.90891953065267,-2.13664977424014,0.772269756412527,0.772269756412527
"277","Diazinon","333-41-5","Fisher et al. (2019)",0.0682333333333333,0.224025,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.16600341205716,-0.649703514004172,0.516299898052985,0.516299898052985
"278","Dicofol","115-32-2","Fisher et al. (2019)",0.0166,0.0222173,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.77989191195995,-1.65330872065839,0.126583191301554,0.126583191301554
"279","Dieldrin","60-57-1","Fisher et al. (2019)",0.0159,0.0202779,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.79860287567955,-1.69297702298935,0.105625852690199,0.105625852690199
"280","Disulfoton","298-04-4","Fisher et al. (2019)",0.722033333333333,0.146414,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.141442752363097,-0.834417394370189,-0.692974642007092,0.692974642007092
"281","Endosulfan I","115-29-7","Fisher et al. (2019)",0.0263666666666667,0.215518,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.57894477122199,-0.666516451840995,0.912428319380991,0.912428319380991
"282","Endrin","72-20-8","Fisher et al. (2019)",0.0164333333333333,0.0151363,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.78427433544243,-1.81998027318241,-0.0357059377399789,0.0357059377399789
"283","Ethion","563-12-2","Fisher et al. (2019)",0.00425,0.0212292,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.37161106994969,-1.67306637145491,0.698544698494782,0.698544698494782
"284","Heptachlor","76-44-8","Fisher et al. (2019)",0.00446666666666667,0.00747085,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.35001645635485,-2.12662998328384,0.223386473071014,0.223386473071014
"285","Heptachlor epoxide B","1024-57-3","Fisher et al. (2019)",0.0279,0.0230353,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.5543957967264,-1.63760612734461,-0.0832103306182108,0.0832103306182108
"286","Lindane","58-89-9","Fisher et al. (2019)",0.3132,0.264811,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.504178246614094,-0.577063978673129,-0.0728857320590344,0.0728857320590344
"287","Methoxychlor-o,p'","72-43-5","Fisher et al. (2019)",0.00556666666666667,0.0210362,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.25440478357208,-1.67703270881867,0.577372074753406,0.577372074753406
"288","Parathion","56-38-2","Fisher et al. (2019)",0.0631666666666667,0.215531,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.19951204041557,-0.666490256080112,0.533021784335459,0.533021784335459
"289","Trifluralin","1582-09-8","Fisher et al. (2019)",0.0145666666666667,0.0165016,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-1.83663981774924,-1.78247394442352,0.0541658733257226,0.0541658733257226
"290","2,4-Dinitrophenol","51-28-5","Fisher et al. (2019)",0.0967666666666667,0.983055,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","A",1,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-1.01427421888799,-0.00742218356328728,1.0068520353247,1.0068520353247
"291","Aldrin","309-00-2","Fisher et al. (2019)",0.0066,0.00452992,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.18045606445813,-2.34390946771462,-0.163453403256486,0.163453403256486
"292","Azinphos-methyl","86-50-0","Fisher et al. (2019)",0.3653,0.799693,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.437350327788083,-0.0970767055016551,0.340273622286428,0.340273622286428
"293","Chlorpyrifos","2921-88-2","Fisher et al. (2019)",0.00373333333333333,0.0234532,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.42790323204948,-1.62979789292637,0.798105339123108,0.798105339123108
"294","DDD-p,p'","50-29-3","Fisher et al. (2019)",0.0024,0.00250731,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.61978875828839,-2.60079196721201,0.0189967910763844,0.0189967910763844
"295","DDT-o,p'","789-02-6","Fisher et al. (2019)",0.0039,0.00418893,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.4089353929735,-2.37789689694786,0.0310384960256394,0.0310384960256394
"296","DDT-p,p'","72-54-8","Fisher et al. (2019)",0.0015,0.00730046,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.82390874094432,-2.13664977424014,0.687258966704178,0.687258966704178
"297","Diazinon","333-41-5","Fisher et al. (2019)",0.0183,0.224025,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.73754891026957,-0.649703514004172,1.0878453962654,1.0878453962654
"298","Dicofol","115-32-2","Fisher et al. (2019)",0.0281333333333333,0.0222173,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.55077880809401,-1.65330872065839,-0.102529912564383,0.102529912564383
"299","Dieldrin","60-57-1","Fisher et al. (2019)",0.0186666666666667,0.0202779,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.72893322771346,-1.69297702298935,0.0359562047241124,0.0359562047241124
"300","Disulfoton","298-04-4","Fisher et al. (2019)",0.6044,0.146414,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.218675544333012,-0.834417394370189,-0.615741850037177,0.615741850037177
"301","Endosulfan I","115-29-7","Fisher et al. (2019)",0.0240333333333333,0.215518,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.61918599000023,-0.666516451840995,0.952669538159238,0.952669538159238
"302","Endrin","72-20-8","Fisher et al. (2019)",0.0227666666666667,0.0151363,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.64270055103813,-1.81998027318241,-0.177279722144281,0.177279722144281
"303","Ethion","563-12-2","Fisher et al. (2019)",0.0012,0.0212292,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.92081875395238,-1.67306637145491,1.24775238249747,1.24775238249747
"304","Heptachlor","76-44-8","Fisher et al. (2019)",0.0099,0.00747085,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.00436480540245,-2.12662998328384,-0.122265177881391,0.122265177881391
"305","Heptachlor epoxide B","1024-57-3","Fisher et al. (2019)",0.0290666666666667,0.0230353,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.5366047697871,-1.63760612734461,-0.101001357557518,0.101001357557518
"306","Lindane","58-89-9","Fisher et al. (2019)",0.225766666666667,0.264811,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.646340179113301,-0.577063978673129,0.0692762004401726,0.0692762004401726
"307","Methoxychlor-o,p'","72-43-5","Fisher et al. (2019)",0.0068,0.0210362,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.16749108729376,-1.67703270881867,0.49045837847509,0.49045837847509
"308","Parathion","56-38-2","Fisher et al. (2019)",0.0792,0.215531,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.10127481841051,-0.666490256080112,0.434784562330395,0.434784562330395
"309","Trifluralin","1582-09-8","Fisher et al. (2019)",0.0243333333333333,0.0165016,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-1.61379839459921,-1.78247394442352,-0.168675549824312,0.168675549824312
"310","2,4-Dinitrophenol","51-28-5","Fisher et al. (2019)",0.385966666666667,0.983055,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","A",10,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-0.413450200788945,-0.00742218356328728,0.406028017225658,0.406028017225658
"311","Aldrin","309-00-2","Fisher et al. (2019)",0.00103333333333333,0.00452992,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.98575956088539,-2.34390946771462,0.641850093170773,0.641850093170773
"312","Azinphos-methyl","86-50-0","Fisher et al. (2019)",0.4386,0.799693,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.357931372658496,-0.0970767055016551,0.260854667156841,0.260854667156841
"313","Chlorpyrifos","2921-88-2","Fisher et al. (2019)",0.000766666666666667,0.0234532,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-3.11539341870207,-1.62979789292637,1.4855955257757,1.4855955257757
"314","DDD-p,p'","50-29-3","Fisher et al. (2019)",0.0012,0.00250731,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.92081875395238,-2.60079196721201,0.320026786740366,0.320026786740366
"315","DDT-o,p'","789-02-6","Fisher et al. (2019)",0.00376666666666667,0.00418893,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.42404281123624,-2.37789689694786,0.0461459142883811,0.0461459142883811
"316","DDT-p,p'","72-54-8","Fisher et al. (2019)",4e-04,0.00730046,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-3.39794000867204,-2.13664977424014,1.2612902344319,1.2612902344319
"317","Diazinon","333-41-5","Fisher et al. (2019)",0.0547666666666667,0.224025,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.2614836912846,-0.649703514004172,0.611780177280429,0.611780177280429
"318","Dicofol","115-32-2","Fisher et al. (2019)",0.0165333333333333,0.0222173,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.78163957822946,-1.65330872065839,0.128330857571074,0.128330857571074
"319","Dieldrin","60-57-1","Fisher et al. (2019)",0.0104,0.0202779,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.98296666070122,-1.69297702298935,0.28998963771187,0.28998963771187
"320","Disulfoton","298-04-4","Fisher et al. (2019)",0.8419,0.146414,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.0747394904805647,-0.834417394370189,-0.759677903889624,0.759677903889624
"321","Endosulfan I","115-29-7","Fisher et al. (2019)",0.0107,0.215518,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.97061622231479,-0.666516451840995,1.3040997704738,1.3040997704738
"322","Endrin","72-20-8","Fisher et al. (2019)",0.0104666666666667,0.0151363,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.98019160664645,-1.81998027318241,0.160211333464036,0.160211333464036
"323","Ethion","563-12-2","Fisher et al. (2019)",0.00106666666666667,0.0212292,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.97197127639976,-1.67306637145491,1.29890490494485,1.29890490494485
"324","Heptachlor","76-44-8","Fisher et al. (2019)",0.00256666666666667,0.00747085,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.59063052954718,-2.12662998328384,0.46400054626334,0.46400054626334
"325","Heptachlor epoxide B","1024-57-3","Fisher et al. (2019)",0.0179,0.0230353,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.74714696902011,-1.63760612734461,0.109540841675494,0.109540841675494
"326","Lindane","58-89-9","Fisher et al. (2019)",0.2754,0.264811,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.560036064079095,-0.577063978673129,-0.0170279145940335,0.0170279145940335
