Chemical,Obs_perc_media,Pred_perc_media_Fischer,Pred_perc_media_VIVD,Pred_perc_media_IVMBM,Pred_perc_media_VCBA,Note,Type,H37,log10_H37,vb,MW,MP,logkow,logkaw,Solubility,log10_Solubility,Conc
Lindane,0.253266667,0.237804661,0.271917808,0.220931978,0.220347088,Alen (1uM; Mixtute),Free,0.3222135,-0.491856268,183,290.83,75.2,3.72,-3.77,4.449699,0.648330634,1
"Methoxychlor-o,p'",0.007066667,0.006064804,0.021909722,0.018393942,0.010709708,Alen (1uM; Mixtute),Free,0.020568975,-1.68678735,268,345.65,87,5.08,-6.7,0.08468425,-1.072197354,1
Parathion,0.078633333,0.269719202,0.221575342,0.177706175,0.184828958,Alen (1uM; Mixtute),Free,0.03019485,-1.520067124,220,291.26,6.1,3.83,-5.78,12.728062,1.104762282,1
Trifluralin,0.025633333,0.026972292,0.017491166,0.013210253,0.005262667,Alen (1uM; Mixtute),Free,10.436475,1.018553837,251,335.28,49,5.34,-3.39,0.28632912,-0.543134481,1
Caffeine,0.999999,0.999569071,0.99904918,1.00061523,0.940234142,Huchthausen et al. (ARE),Free,0.157,-0.804100348,133,194.19,238,-0.07,-9.95,21749.28,4.337444884,3680
Lamotrigine,0.579374276,0.6950343,0.811854214,0.770202812,0.656483663,Huchthausen et al. (ARE),Free,0.000113,-3.946921557,163,256.09,207,2.57,-9.7,249.94384,2.397842438,863
Diclofenac,0.348993289,NA,0.995283019,0.998992775,0.939743932,Huchthausen et al. (ARE),Free,1.60E-05,-4.795880017,207,296.15,284,0.7,-9.05,7.018755,0.846260083,89.4
"2,4-Dichlorophenoxyacetic",0.417721519,0.615562442,0.707317073,0.708975039,0.568577803,Huchthausen et al. (ARE),Free,0.000299,-3.524328812,148,221.04,140,2.81,-7.08,1644.5376,3.216043807,316
(S)-Naproxen,0.744525547,0.159489744,0.492655367,0.490868445,0.417296607,Huchthausen et al. (ARE),Free,0.000108,-3.966576245,192,230.26,153,3.18,-9.64,13.35508,1.125646494,411
Ibuprofen,0.269581749,0.290083464,0.120886076,0.195806239,0.20550469,Huchthausen et al. (ARE),Free,0.00824,-2.084072788,200,206.28,89.1,3.73,-6.22,35.68644,1.552503226,263
Torasemide,0.167272727,0.318135847,0.377717391,0.364310396,0.338756182,Huchthausen et al. (ARE),Free,1.84E-06,-5.735182177,271,348.42,224,3.37,-15.3,79.78818,1.901938559,1100
Warfarin,0.444651163,0.736009028,0.760582645,0.76229147,0.610253997,Huchthausen et al. (ARE),Free,0.000625,-3.204119983,236,308.33,161,2.7,-11.6,29.692179,1.47264207,215
Caffeine,0.754098361,0.999910142,0.999307377,0.999651695,0.987333223,Huchthausen et al.,Free,0.157,-0.804100348,133,194.19,238,-0.07,-9.95,21749.28,4.337444884,2440
Lamotrigine,0.870159453,0.916057146,0.942047836,0.927893388,0.887444146,Huchthausen et al.,Free,0.000113,-3.946921557,163,256.09,207,2.57,-9.7,249.94384,2.397842438,439
Diclofenac,0.129716981,NA,1,0.999368946,0.986958617,Huchthausen et al.,Free,1.60E-05,-4.795880017,207,296.15,284,0.7,-9.05,7.018755,0.846260083,2.12
"2,4-Dichlorophenoxyacetic",0.463414634,0.884760587,0.904471545,0.92339204,0.8406462,Huchthausen et al.,Free,0.000299,-3.524328812,148,221.04,140,2.81,-7.08,1644.5376,3.216043807,49.2
(S)-Naproxen,0.261016949,0.476150156,0.796610169,0.827164891,0.732359353,Huchthausen et al.,Free,0.000108,-3.966576245,192,230.26,153,3.18,-9.64,13.35508,1.125646494,17.7
Ibuprofen,0.474683544,0.661593749,0.36314557,0.547679625,0.483709778,Huchthausen et al.,Free,0.00824,-2.084072788,200,206.28,89.1,3.73,-6.22,35.68644,1.552503226,316
Torasemide,0.039076087,0.690678667,0.708641304,0.730936689,0.657012551,Huchthausen et al.,Free,1.84E-06,-5.735182177,271,348.42,224,3.37,-15.3,79.78818,1.901938559,184
Warfarin,0.429752066,0.930261511,0.925161157,0.940551163,0.864053248,Huchthausen et al.,Free,0.000625,-3.204119983,236,308.33,161,2.7,-11.6,29.692179,1.47264207,242
Eugenol F,0.999999,0.996842877,0.992923497,0.992878437,0.993604707,Schug et al. (Fish RTgut - High dose),Free,2.22E-02,-1.653647026,156,164.2,-9.1,2.27,-4.85,840.704,2.924643114,6.090133983
Methyl-antranilate,0.9999,0.999052349,0.996835539,0.997125494,0.99731178,Schug et al. (Fish RTgut - High dose),Free,1.11E-03,-2.954677021,130,151.16,24.5,1.88,-6.32,2872.04,3.458190484,165.3439153
