Chemical,Obs_perc_media,Pred_perc_media_Fischer,Pred_perc_media_VIVD,Pred_perc_media_IVMBM,Pred_perc_media_VCBA,Note,Type,H37,log10_H37,vb,MW,MP,logkow,logkaw,Solubility,log10_Solubility,Conc
4-fluoroaniline,0.88,0.998983177,0.998342719,0.994683133,0.999470274,Tanneberger et al. (Fish RTgill),Free,6.11E-02,-1.213966075,95.9,111.12,-0.8,1.15,-3.98,14778.96,4.169643874,1913.591359
"2,4,6-trichlorophenol",0.9,0.816221885,0.81765,0.839495256,0.866467683,Tanneberger et al. (Fish RTgill),Free,1.37E-01,-0.863949619,124,197.45,69,3.69,-3.46,833.239,2.920769589,10.12658228
Allyl alcohol,0.98,0.99996177,0.998856203,0.986640934,0.999935973,Tanneberger et al. (Fish RTgill),Free,5.06E-01,-0.296182842,70.7,58.08,-129,0.17,-3.52,998976,5.999555055,14359.72461
lindane,0.43,0.915489462,0.806445361,0.354933621,0.858498932,Tanneberger et al. (Fish RTgill),Free,3.22E-01,-0.491856268,183,290.83,75.2,3.72,-3.77,4.449699,0.648330634,33.3562586
N-methylaniline,0.85,0.997116874,0.996761236,0.980888948,0.998352376,Tanneberger et al. (Fish RTgill),Free,9.00E-01,-0.045870422,109,107.15,-57,1.66,-3.41,5625.375,3.750151479,1509.328358
"3,4-dichloroaniline",0.74,0.969424654,0.976180645,0.981082256,0.983817556,Tanneberger et al. (Fish RTgill),Free,1.76E-02,-1.753734139,116,162.02,72,2.69,-4.68,145.65598,2.16332832,47.83950617
4-decylaniline,0.15,0.034767979,0.010086214,0.0146844,0.017058676,Tanneberger et al. (Fish RTgill),Free,2.07E+00,0.31534678,257,233.39,25,6.32,-3.09,0.20374947,-0.690903512,2.399314482
naphthalene,0.11,0.940256406,0.914595224,0.798154238,0.939532439,Tanneberger et al. (Fish RTgill),Free,4.46E+01,1.649169289,124,128.17,80.2,3.3,-2.41,31.65799,1.500483338,219.1887676
"1,2,4-trichlorobenzene",0.03,0.686901047,0.663369718,0.120950268,0.768134872,Tanneberger et al. (Fish RTgill),Free,1.44E+02,2.158004957,125,181.45,17,3.99,-0.83,46.4512,1.666996938,78.2369146
"1,2-dichlorobenzene",0.07,0.909961231,0.856326914,0.16776718,0.920729473,Tanneberger et al. (Fish RTgill),Free,1.95E+02,2.289017841,113,147,-16.7,3.43,-0.98,143.325,2.15632195,182.9931973
dichloromethane,0.33,0.998336389,0.971592428,0.255719468,0.999338332,Tanneberger et al. (Fish RTgill),Free,3.29E+02,2.517599973,67.8,84.93,-95.1,1.25,-1.19,15117.54,4.179481126,17656.06596
tetrachloroethylene,0.08,0.942057444,0.804165821,0.066176102,0.925494534,Tanneberger et al. (Fish RTgill),Free,1.79E+03,3.253689879,100,165.83,-22.3,3.4,-0.52,276.9361,2.442379572,195.4161641
"2,3-dimethyl-1,3-butadiene",0.06,0.98706853,0.206448,0.002421722,0.962954919,Tanneberger et al. (Fish RTgill),Free,4.53E+03,3.656024136,117,82.14,-76,3.07,0.95,326.9172,2.514437771,1000
cyclosporine A,0.0451,NA,0.968921429,0.820179361,0.965831508,"PHH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.7
cyclosporine A,0.0201,NA,0.968921429,0.820179361,0.965831508,"PHH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.7
cyclosporine A,0.0201,NA,0.968921429,0.820179361,0.965831508,"PHH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.7
cyclosporine A,0.327819549,NA,0.968921429,0.101468954,0.965831508,"PHH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,7
cyclosporine A,0.04273183,NA,0.968921429,0.101468954,0.965831508,"PHH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,7
cyclosporine A,0.136716792,NA,0.968921429,0.101468954,0.965831508,"PHH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,7
cyclosporine A,0.0742,NA,0.991179,0.806065969,0.996207392,"HepaRG; Bellwon et al., 2015",Total,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.5
cyclosporine A,0.113806147,NA,0.991179,0.142001156,0.996207392,"HepaRG; Bellwon et al., 2015",Total,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,5
cyclosporine A,0.714529915,NA,0.966754667,0.73826393,0.888698096,"PRH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,0.25
cyclosporine A,0.395527066,NA,0.966754667,0.284113072,0.888698096,"PRH; Bellwon et al., 2015",Free,2.27E-06,-5.643974143,1180,1202.61,150,2.92,-45.2,0.67706943,-0.169366794,2.5
chlorpromazine,0.902981602,0.989570663,0.968270588,0.949075365,0.995301596,"Balb/c 3T3; Broeders et al., 2013",Total,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1.7
chlorpromazine,0.39516909,0.993704041,0.968245,0.961695506,0.996339121,"Caco-2; Broeders et al., 2013",Total,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,5
chlorpromazine,0.45440888,0.993704041,0.968246667,0.961695506,0.996339121,"Caco-2; Broeders et al., 2013",Total,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,15
chlorpromazine,0.214448265,0.457434491,0.233547941,0.147573418,0.8259484,"HepaRG; Broeders et al., 2013",Free,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1.7
chlorpromazine,0.149383432,0.457434491,0.233548,0.147573418,0.825948399,"HepaRG; Broeders et al., 2013",Free,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,5
chlorpromazine,0.182454998,0.457434491,0.233548,0.147573418,0.825948407,"HepaRG; Broeders et al., 2013",Free,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,15
chlorpromazine,0.091304348,0.0404,0.096158,0.0221,0.345470238,"PHH; Broeders et al., 2015",Free,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1
chlorpromazine,0.059583664,0.83107566,0.87226,0.755451688,0.949583613,"HepaRG; Broeders et al., 2015",Total,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,1.5
chlorpromazine,0.152649294,0.83107566,0.87226,0.755451688,0.949583614,"HepaRG; Broeders et al., 2015",Total,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,15
chlorpromazine,0.088231347,0.16357992,0.993066667,0.137651937,0.304558349,"PRH; Broeders et al., 2015",Total,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,2
chlorpromazine,0.00201,0.16357992,0.993066667,0.137651937,0.304558361,"PRH; Broeders et al., 2015",Total,0.000883,-3.054039296,263,318.86,151,5.41,-6.97,2.2128884,0.344959512,20
ibuprofen,0.101210143,0.648152322,0.96065,0.94506463,0.843955993,"PHH;Truisi et al., 2015",Free,0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,100
ibuprofen,0.454919039,0.648152322,0.96065,0.94506463,0.843956016,"PHH;Truisi et al., 2015",Free,0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,1000
ibuprofen,0.04103892,0.732515417,0.977235,0.969060886,0.893212928,"HepaRG;Truisi et al., 2015",Total,0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,10
ibuprofen,0.1875,0.732515417,0.977235,0.969060886,0.893212929,"HepaRG;Truisi et al., 2015",Total,0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,100
ibuprofen,0.034060181,0.476605129,0.960506667,0.884701426,0.687183924,"PRH;Truisi et al., 2015",Free,0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,10
ibuprofen,0.153584175,0.476605129,0.960506667,0.884701426,0.687183912,PRH,Free,0.008237723,-2.084192816,200,206.28,87.4,3.73,-5.91,0.2632,-0.579714115,100
4:2 FTS,0.68,0.554269768,0.981764,0.919077588,0.894527273,PFAS (100 uM),Free,2.99E-05,-4.524283388,162,300.1,23.4,1.5,-4.63,510.17,2.707714917,100
6:2 FTS,0.1985,NA,0.966122,0.850370376,0.854922632,PFAS (100 uM),Free,2.49E-05,-4.604283388,195,328.15,33.3,1.76,-4.26,1283.0665,3.108249166,100
8:2 FTS,0.034933333,NA,0.00364248,0.000674055,0.000584784,PFAS (100 uM),Free,0.000119046,-3.924283388,265,464.08,68.6,6.07,-2.47,1299.424,3.113750884,100
PFBA,0.946666667,NA,0.0673682,0.013911719,0.075198945,PFAS (100 uM),Free,2.38E-05,-4.624283388,182,314.05,11.7,4.2,-3.31,29.33227,1.467345674,100
PFBS,0.933333333,NA,0.968924,0.852479698,0.861787882,PFAS (100 uM),Free,5.078279645,0.705716612,127,214.04,-17.9,1.72,-3.87,447.3436,2.650641228,100
PFDA,0.061,NA,0.0790055,0.016426498,0.086997742,PFAS (100 uM),Free,1.93E-05,-4.714283388,237,414.07,54.3,4.13,-2.75,5051.654,3.703433597,100
PFHpA,0.7709,NA,0.597112,0.224893394,0.481067219,PFAS (100 uM),Free,1.84E-05,-4.734283388,250,428.17,32.1,2.97,-3.7,18.240042,1.261025834,100
PFHxA,0.6643,NA,0.0705235,0.005765219,0.078428648,PFAS (100 uM),Free,1.80E-06,-5.744283388,305,528.18,32.4,4.18,-3.14,0.2456037,-0.609765095,100
PFHxS,0.603,NA,0.00464577,0.001976469,0.00081426,PFAS (100 uM),Free,3.36E-05,-4.474283388,320,564.09,98.5,5.95,-1.91,91.94667,1.963536005,100
PFNA,0.113276667,NA,0.00464577,0.00197647,0.00081426,PFAS (100 uM),Free,1.84E-06,-5.734283388,272,500.13,22.8,5.95,-3.51,570.1482,2.755987758,100
PFOA,0.06888,NA,0.272636,0.067894091,0.251166841,PFAS (100 uM),Free,2.12E-05,-4.674283388,210,364.06,35.4,3.53,-3.03,117955.44,5.071717975,100
PFOS,0.029833333,NA,0.878764,0.578857179,0.722905577,PFAS (100 uM),Free,2.99E-05,-4.524283388,155,264.05,1.5,2.32,-3.59,119.8787,2.078742025,100
PFPeA,0.936053333,NA,0.737105,0.355738885,0.5874165,PFAS (100 uM),Free,1.98E-05,-4.704283388,217,400.11,190,2.71,-4.07,243.26688,2.386082985,100
PFUnDA,0.005033333,NA,0.00231535,0.001339033,0.000234285,PFAS (100 uM),Free,1.53E-05,-4.814283388,292,514.08,90,6.4,-2.19,1156.68,3.063213226,100
4:2 FTS,0.376666667,0.554269768,0.981764,0.919077588,0.894527273,PFAS (10 uM),Free,2.99E-05,-4.524283388,162,300.1,23.4,1.5,-4.63,510.17,2.707714917,10
6:2 FTS,0.1966,NA,0.966122,0.850370376,0.854922632,PFAS (10 uM),Free,2.49E-05,-4.604283388,195,328.15,33.3,1.76,-4.26,1283.0665,3.108249166,10
8:2 FTS,0.004866667,NA,0.00364248,0.000674055,0.000584784,PFAS (10 uM),Free,0.000119046,-3.924283388,265,464.08,68.6,6.07,-2.47,1299.424,3.113750884,10
PFBA,0.95,NA,0.0673682,0.013911719,0.075198945,PFAS (10 uM),Free,2.38E-05,-4.624283388,182,314.05,11.7,4.2,-3.31,29.33227,1.467345674,10
PFBS,0.896666667,NA,0.968924,0.852479698,0.861787882,PFAS (10 uM),Free,5.078279645,0.705716612,127,214.04,-17.9,1.72,-3.87,447.3436,2.650641228,10
PFDA,0.001566667,NA,0.0790055,0.016426498,0.086997742,PFAS (10 uM),Free,1.93E-05,-4.714283388,237,414.07,54.3,4.13,-2.75,5051.654,3.703433597,10
PFHpA,0.328166667,NA,0.597112,0.224893394,0.481067219,PFAS (10 uM),Free,1.84E-05,-4.734283388,250,428.17,32.1,2.97,-3.7,18.240042,1.261025834,10
PFHxA,0.517066667,NA,0.0705235,0.01459554,0.078428648,PFAS (10 uM),Free,1.80E-06,-5.744283388,305,528.18,32.4,4.18,-3.14,0.2456037,-0.609765095,10
PFHxS,0.125666667,NA,0.00464577,0.001976469,0.00081426,PFAS (10 uM),Free,3.36E-05,-4.474283388,320,564.09,98.5,5.95,-1.91,91.94667,1.963536005,10
PFNA,0.045023333,NA,0.00464577,0.00197647,0.00081426,PFAS (10 uM),Free,1.84E-06,-5.734283388,272,500.13,22.8,5.95,-3.51,570.1482,2.755987758,10
PFOA,0.05088,NA,0.272636,0.067894091,0.251166841,PFAS (10 uM),Free,2.12E-05,-4.674283388,210,364.06,35.4,3.53,-3.03,117955.44,5.071717975,10
PFOS,0.013333333,NA,0.878764,0.578857179,0.722905577,PFAS (10 uM),Free,2.99E-05,-4.524283388,155,264.05,1.5,2.32,-3.59,119.8787,2.078742025,10
PFPeA,0.769123333,NA,0.737105,0.355738885,0.5874165,PFAS (10 uM),Free,1.98E-05,-4.704283388,217,400.11,190,2.71,-4.07,243.26688,2.386082985,10
PFUnDA,0.002733333,NA,0.00231535,0.001339033,0.000234285,PFAS (10 uM),Free,1.53E-05,-4.814283388,292,514.08,90,6.4,-2.19,1156.68,3.063213226,10
Azathioprine,0.95,0.956947687,0.999487,0.988001585,0.94199939,Nicol et al. (HepG2),Free,0.004962684,-2.304283388,145.378,277.26,244,0.1,-15.1,100.09086,2.000394421,10
Benzocaine,0.784,0.738505328,0.962536,0.848657586,0.846377053,Nicol et al. (HepG2),Free,0.000299031,-3.524283388,146.113,165.19,92,1.86,-6.33,834.2095,2.921275131,10
Butylated hydroxyanisole,0.243,NA,0.353197,0.236551235,NA,Nicol et al. (HepG2),Free,,,,180.24,64.9,3.42,-4.8,358.6776,2.554704255,10
Cetirizine dihydrochloride,5.27E-01,NA,0.997681,0.970099223,0.941530103,Nicol et al. (HepG2),Free,1.06E-05,-4.974283388,314.245,388.89,249,0.715,-16.6,443.3346,2.646731627,10
Chlorpyrifos,0.005,0.06475061,0.0168383,0.014436536,0.014207072,Nicol et al. (HepG2),Free,0.299031275,-0.524283388,236.772,350.59,42,4.96,-3.92,1.1499352,0.060673368,10
Cyclamate,3.70E-01,NA,0.999904,0.996292832,0.942107963,Nicol et al. (HepG2),Free,0.001431254,-2.844283388,135.301,179.24,107,-0.585,-9.77,874691.2,5.941854757,10
Cyclophosphamide,8.34E-01,NA,0.997792,0.970951119,0.941559162,Nicol et al. (HepG2),Free,0.1061003,-0.974283388,195.697,261.09,61.5,0.695,-10.2,46212.93,4.664763505,10
Cypermethrin,5.00E-03,NA,0.0019604,0.001106926,0.000147119,Nicol et al. (HepG2),Free,0.000211698,-3.674283388,313.142,416.3,102,6.62,-6.45,0.01477865,-1.830365236,10
DEET,0.735,0.810974792,0.921086,0.767020171,0.777750034,Nicol et al. (HepG2),Free,0.014645918,-1.834283388,194.013,191.27,-45,2.18,-6.57,916.1833,2.961982371,10
Dexamethasone,0.662,0.666733382,0.956824,0.835700557,0.8351205,Nicol et al. (HepG2),Free,6.69E-06,-5.174283388,296.213,392.46,248,1.92,-18.8,78.492,1.894825395,10
Digoxin,0.529,0.985991301,0.991199,0.934834701,0.926221954,Nicol et al. (HepG2),Free,1.34E-05,-4.874283388,572.339,780.94,426,1.26,-30.7,59.195252,1.772286874,10
Fenazaquin,0.005,NA,0.00943399,0.007090424,0.003200588,Nicol et al. (HepG2),Free,0.136683664,-0.864283388,277.895,306.4,78.5,5.51,-7.24,0.1495232,-0.825291417,10
Fenbuconazole,0.157,NA,0.466217,0.139439497,0.402422697,Nicol et al. (HepG2),Free,0.394199993,-0.404283388,284.558,336.82,125,3.23,-10,0.3738702,-0.42727915,10
Fluazinam,0.005,0.041053888,0.112615,0.078794991,0.128699441,Nicol et al. (HepG2),Free,1.61E-06,-5.794283388,263.303,465.09,113,4.01,-4.7,0.4883445,-0.311273699,10
Furosemide,0.415,0.645196647,0.944611,0.948110947,0.812609036,Nicol et al. (HepG2),Free,2.55E-05,-4.594283388,205.814,330.74,261,2.03,-16.3,43.98842,1.643338363,10
Glybenclamide,0.101,0.010866228,0.0187339,0.016419104,0.019041495,Nicol et al. (HepG2),Free,1.93E-05,-4.714283388,362.912,494,169,4.85,-18,4.00634,0.602747803,10
HC Red 3,0.95,NA,0.999448,0.98743357,0.941989264,Nicol et al. (HepG2),Free,0.0090306,-2.044283388,137.024,197.19,152,0.13,-11.8,121074.66,5.083053258,10
Hydralazine hydrochloride,0.147,NA,0.997624,0.969664312,0.941515019,Nicol et al. (HepG2),Free,0.004422997,-2.354283388,116.624,160.18,163,0.725,-11.6,211437.6,5.325182221,10
Ibuprofen,0.139,0.181075609,0.204135,0.201276773,0.209051423,Nicol et al. (HepG2),Free,0.008236005,-2.084283388,200.339,206.28,89.1,3.73,-6.22,35.68644,1.552503226,10
Ketoconazole,0.255,0.231422367,0.0518664,0.037839562,0.064384507,Nicol et al. (HepG2),Free,0.004526021,-2.344283388,384.99,531.43,146,4.35,-20,83.96594,1.924103154,10
Metformin,0.567,NA,0.999952,0.998044314,0.942120824,Nicol et al. (HepG2),Free,0.000359515,-3.444283388,100.793,129.16,74.3,-0.87,-9.13,1016489.2,6.007102769,10
Metoclopramide,0.796,0.461189165,0.797613,0.601212805,0.645641522,Nicol et al. (HepG2),Free,2.02E-05,-4.694283388,257.8,299.8,147,2.62,-12.3,174.7834,2.242500183,10
Nitrofurantoin,0.935,0.99871333,0.999873,0.995375081,0.942099734,Nicol et al. (HepG2),Free,0.001464592,-2.834283388,131.072,238.16,263,-0.47,-12.7,96.21664,1.983250187,10
Oxytetracycline hydrochloride,0.95,NA,0.99999,1.000271104,0.942131392,Nicol et al. (HepG2),Free,1.37E-06,-5.864283388,268.172,460.43,460,-1.53,-28.9,501868.7,5.700590111,10
Panthenol,0.433,NA,0.999955,0.998168744,0.94212159,Nicol et al. (HepG2),Free,0.001163367,-2.934283388,175.975,205.25,164,-0.895,-15,1034460,6.014713702,10
Paracetamol,0.54,0.951983627,0.998759,0.979377359,0.941811129,Nicol et al. (HepG2),Free,0.000583065,-3.234283388,120.946,151.16,170,0.46,-10.9,14224.156,4.153026507,10
Topiramate,0.9225,1.001319788,0.999987,0.999945732,0.942130282,Nicol et al. (HepG2),Free,0.00094562,-3.024283388,253.865,339.36,165,-1.39,-18,264022.08,5.421640248,10
Trimellitic anhydride,0.95,NA,0.98568,0.913513122,0.905373205,Nicol et al. (HepG2),Free,2.27E-06,-5.644283388,115.092,192.13,162,1.46,-10.2,15754.66,4.197409035,10
Verapamil hydrochloride,0.494,NA,0.038137,0.028243138,0.04815668,Nicol et al. (HepG2),Free,0.047393263,-1.324283388,429.392,454.6,200,4.48,-16.2,2.29573,0.36092081,10
Warfarin,0.347,NA,0.847744,0.660535813,0.692560067,Nicol et al. (HepG2),Free,3.76E-06,-5.424283388,235.758,308.33,175,2.48,-11.6,82.94077,1.918768063,10
Azathioprine,0.95,1,0.999929,0.986778354,0.999774442,Nicol et al. (HepRG),Free,0.004962684,-2.304283388,145.378,277.26,244,0.1,-15.1,100.09086,2.000394421,10
Benzocaine,0.809,1,0.996409,0.882712124,0.993977731,Nicol et al. (HepRG),Free,0.000299031,-3.524283388,146.113,165.19,92,1.86,-6.33,834.2095,2.921275131,10
Butylated hydroxyanisole,0.33,NA,0.894872,0.495896568,NA,Nicol et al. (HepRG),Free,,,,180.24,64.9,3.42,-4.8,358.6776,2.554704255,10
Cetirizine dihydrochloride,0.71,NA,0.999721,0.971001482,0.999446041,Nicol et al. (HepRG),Free,1.06E-05,-4.974283388,314.245,388.89,249,0.715,-16.6,443.3346,2.646731627,10
Chlorpyrifos,0.005,1,0.214535,0.116856556,0.128931507,Nicol et al. (HepRG),Free,0.299031275,-0.524283388,236.772,350.59,42,4.96,-3.92,1.1499352,0.060673368,10
Cyclamate,0.388,NA,0.999985,0.994542659,0.99986133,Nicol et al. (HepRG),Free,0.001431254,-2.844283388,135.301,179.24,107,-0.585,-9.77,874691.2,5.941854757,10
Cyclophosphamide,0.866,NA,0.999733,0.971726468,0.999465284,Nicol et al. (HepRG),Free,0.1061003,-0.974283388,195.697,261.09,61.5,0.695,-10.2,46212.93,4.664763505,10
Cypermethrin,0.005,NA,0.0066572,0.004255506,0.002798867,Nicol et al. (HepRG),Free,0.000211698,-3.674283388,313.142,416.3,102,6.62,-6.45,0.01477865,-1.830365236,10
DEET,0.823,1,0.992691,0.832244706,0.987867551,Nicol et al. (HepRG),Free,0.014645918,-1.834283388,194.013,191.27,-45,2.18,-6.57,916.1833,2.961982371,10
Dexamethasone,0.693,1,0.995898,0.874423662,0.993133085,Nicol et al. (HepRG),Free,6.69E-06,-5.174283388,296.213,392.46,248,1.92,-18.8,78.492,1.894825395,10
Digoxin,0.556,1,0.999058,0.942719301,0.998366888,Nicol et al. (HepRG),Free,1.34E-05,-4.874283388,572.339,780.94,426,1.26,-30.7,59.195252,1.772286874,10
Fenazaquin,0.005,NA,0.0740428,0.059402217,0.039084742,Nicol et al. (HepRG),Free,0.136683664,-0.864283388,277.895,306.4,78.5,5.51,-7.24,0.1495232,-0.825291417,10
Fenbuconazole,0.213,NA,0.928655,0.139439497,0.8860949,Nicol et al. (HepRG),Free,0.394199993,-0.404283388,284.558,336.82,125,3.23,-10,0.3738702,-0.42727915,10
Fluazinam,0.005,1,0.695077,0.130488467,0.569828676,Nicol et al. (HepRG),Free,1.61E-06,-5.794283388,263.303,465.09,113,4.01,-4.7,0.4883445,-0.311273699,10
Furosemide,0.458,1,0.994761,0.999920099,0.991263688,Nicol et al. (HepRG),Free,2.55E-05,-4.594283388,205.814,330.74,261,2.03,-16.3,43.98842,1.643338363,10
Glybenclamide,0.167,1,0.258828,0.13262913,0.160544332,Nicol et al. (HepRG),Free,1.93E-05,-4.714283388,362.912,494,169,4.85,-18,4.00634,0.602747803,10
HC Red 3,0.945,NA,0.999924,0.986258421,0.999766744,Nicol et al. (HepRG),Free,0.0090306,-2.044283388,137.024,197.19,152,0.13,-11.8,121074.66,5.083053258,10
Hydralazine hydrochloride,0.114,NA,0.999715,0.970632253,0.999436091,Nicol et al. (HepRG),Free,0.004422997,-2.354283388,116.624,160.18,163,0.725,-11.6,211437.6,5.325182221,10
Ibuprofen,0.196,1,0.809915,0.997821969,0.714888182,Nicol et al. (HepRG),Free,0.008236005,-2.084283388,200.339,206.28,89.1,3.73,-6.22,35.68644,1.552503226,10
Ketoconazole,0.296,1,0.516166,0.226833469,0.378018678,Nicol et al. (HepRG),Free,0.004526021,-2.344283388,384.99,531.43,146,4.35,-20,83.96594,1.924103154,10
Metformin,0.57,NA,0.999992,0.996229349,0.99987261,Nicol et al. (HepRG),Free,0.000359515,-3.444283388,100.793,129.16,74.3,-0.87,-9.13,1016489.2,6.007102769,10
Metoclopramide,0.752,1,0.980709,0.736599171,0.968346095,Nicol et al. (HepRG),Free,2.02E-05,-4.694283388,257.8,299.8,147,2.62,-12.3,174.7834,2.242500183,10
Nitrofurantoin,0.9485,1,0.99998,0.99366588,0.999854309,Nicol et al. (HepRG),Free,0.001464592,-2.834283388,131.072,238.16,263,-0.47,-12.7,96.21664,1.983250187,10
Oxytetracycline hydrochloride,0.95,NA,0.999998,0.998401212,0.999882369,Nicol et al. (HepRG),Free,1.37E-06,-5.864283388,268.172,460.43,460,-1.53,-28.9,501868.7,5.700590111,10
Panthenol,0.448,NA,0.999992,0.996349875,0.999873298,Nicol et al. (HepRG),Free,0.001163367,-2.934283388,175.975,205.25,164,-0.895,-15,1034460,6.014713702,10
Paracetamol,0.611,1,0.999842,0.979028888,0.999637149,Nicol et al. (HepRG),Free,0.000583065,-3.234283388,120.946,151.16,170,0.46,-10.9,14224.156,4.153026507,10
Topiramate,0.762,1,0.999997,0.998081808,0.999881306,Nicol et al. (HepRG),Free,0.00094562,-3.024283388,253.865,339.36,165,-1.39,-18,264022.08,5.421640248,10
Trimellitic anhydride,0.931,NA,0.998528,0.926909132,0.99748194,Nicol et al. (HepRG),Free,2.27E-06,-5.644283388,115.092,192.13,162,1.46,-10.2,15754.66,4.197409035,10
Verapamil hydrochloride,0.563,NA,0.44382,0.198498939,0.310622023,Nicol et al. (HepRG),Free,0.047393263,-1.324283388,429.392,454.6,200,4.48,-16.2,2.29573,0.36092081,10
Warfarin,0.388,NA,0.985816,0.770444676,0.976639167,Nicol et al. (HepRG),Free,3.76E-06,-5.424283388,235.758,308.33,175,2.48,-11.6,82.94077,1.918768063,10
Azathioprine,0.95,0.955188528,0.999468,0.98805398,0.939676459,Nicol et al. (MCF7),Free,0.004962684,-2.304283388,145.378,277.26,244,0.1,-15.1,100.09086,2.000394421,10
Benzocaine,0.81,0.73033565,0.961138,0.847259314,0.841034545,Nicol et al. (MCF7),Free,0.000299031,-3.524283388,146.113,165.19,92,1.86,-6.33,834.2095,2.921275131,10
Butylated hydroxyanisole,0.254,NA,0.344283,0.231374891,NA,Nicol et al. (MCF7),Free,,,,180.24,64.9,3.42,-4.8,358.6776,2.554704255,10
Cetirizine dihydrochloride,0.638,NA,0.997594,0.970060663,0.939201919,Nicol et al. (MCF7),Free,1.06E-05,-4.974283388,314.245,388.89,249,0.715,-16.6,443.3346,2.646731627,10
Chlorpyrifos,0.005,0.062259722,0.0161997,0.013914826,0.013686121,Nicol et al. (MCF7),Free,0.299031275,-0.524283388,236.772,350.59,42,4.96,-3.92,1.1499352,0.060673368,10
Cyclamate,0.417,NA,0.999901,0.996367839,0.939785835,Nicol et al. (MCF7),Free,0.001431254,-2.844283388,135.301,179.24,107,-0.585,-9.77,874691.2,5.941854757,10
Cyclophosphamide,0.8,NA,0.99771,0.970917979,0.939231344,Nicol et al. (MCF7),Free,0.1061003,-0.974283388,195.697,261.09,61.5,0.695,-10.2,46212.93,4.664763505,10
Cypermethrin,0.005,NA,0.00190296,0.00106474,0.000141389,Nicol et al. (MCF7),Free,0.000211698,-3.674283388,313.142,416.3,102,6.62,-6.45,0.01477865,-1.830365236,10
DEET,0.815,0.804469766,0.918253,0.764457264,0.770737265,Nicol et al. (MCF7),Free,0.014645918,-1.834283388,194.013,191.27,-45,2.18,-6.57,916.1833,2.961982371,10
Dexamethasone,0.702,0.657361737,0.95522,0.834120413,0.829474939,Nicol et al. (MCF7),Free,6.69E-06,-5.174283388,296.213,392.46,248,1.92,-18.8,78.492,1.894825395,10
Digoxin,0.654,0.985400787,0.990866,0.934500355,0.923367586,Nicol et al. (MCF7),Free,1.34E-05,-4.874283388,572.339,780.94,426,1.26,-30.7,59.195252,1.772286874,10
Fenazaquin,0.005,NA,0.00909451,0.006832259,0.003079635,Nicol et al. (MCF7),Free,0.136683664,-0.864283388,277.895,306.4,78.5,5.51,-7.24,0.1495232,-0.825291417,10
Fenbuconazole,0.162,NA,0.456493,0.139439497,0.393240455,Nicol et al. (MCF7),Free,0.394199993,-0.404283388,284.558,336.82,125,3.23,-10,0.3738702,-0.42727915,10
Fluazinam,0.005,0.03943615,0.108718,0.076350152,0.124574016,Nicol et al. (MCF7),Free,1.61E-06,-5.794283388,263.303,465.09,113,4.01,-4.7,0.4883445,-0.311273699,10
Furosemide,0.521,0.635550424,0.942578,0.94601414,0.806391892,Nicol et al. (MCF7),Free,2.55E-05,-4.594283388,205.814,330.74,261,2.03,-16.3,43.98842,1.643338363,10
