"","Chemical","CAS","MW","Compound.type","Salting.out.Constant","Melting.Point_Celsius.degree","pKa","Water.Solubility_mgperL","LogKOW","LogKAW","CNOM_uM","Time","Q_met","C_cells","C_air","C_plastic","C_free_diss","C_IW","C_lyso","C_mito","C_parent","Q_parent","Q_media_free","Q_cells","Q_media","Q_air","Q_plastic","Q_IW","Q_lyso"
"1","chlorpromazine","50-53-3",318.86,2,0.3304,151,9.4,2.2128884,5.41,-6.97,1.7,2880,0,6.28294e-05,1.23251e-15,6.83292e-06,4.55415e-07,4.10584e-05,2.61468e-06,0.000262613,1.7e-06,3.4e-09,9.10829e-10,1.57169e-11,9.10829e-10,6.03898e-18,2.47345e-09,9.14106e-12,6.54069e-15
"2","chlorpromazine","50-53-3",318.86,2,0.3304,151,9.4,2.2128884,5.41,-6.97,5,2880,0,0.000184792,3.62502e-15,2.00968e-05,1.33945e-06,0.00012076,7.69023e-06,0.000772391,5e-06,1e-08,2.67891e-09,4.62263e-11,2.67891e-09,1.77617e-17,7.27486e-09,2.68855e-11,1.92373e-14
"3","chlorpromazine","50-53-3",318.86,2,0.3304,151,9.4,2.2128884,5.41,-6.97,15,2880,0,0.000554377,1.08751e-14,6.02904e-05,4.01836e-06,0.00036228,2.30707e-05,0.00231717,1.5e-05,3e-08,8.03673e-09,1.38679e-10,8.03673e-09,5.32851e-17,2.18246e-08,8.06564e-11,5.77119e-14
