,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,5.00E-06,4.98E-06,1.41E-14,8.98E-05,4.12E-08,25999.98139,0.08,0.0234,1.17E-05
2,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,1.50E-05,1.49E-05,4.23E-14,0.000269378,1.24E-07,25999.98139,0.08,0.0234,3.50E-05
,,,,,,,,,,,,,,,
,,,,,,,,9.96E-03,,,,,,,
,,,,,,,,2.99E-02,,,,,,,
