,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,1.70E-06,1.40E-06,5.60E-14,0.000377388,1.63E-07,99999.92844,2.60E-16,1.16E-17,0.000128312
2,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,5.00E-06,4.13E-06,1.65E-13,0.001109965,4.81E-07,99999.92844,2.60E-16,1.16E-17,0.000377388
3,chlorpromazine,50-53-3,318.86,0.000883,263,5.41,1.50E-05,1.24E-05,4.94E-13,0.003329895,1.44E-06,99999.92844,2.60E-16,1.16E-17,0.001132164
,,,,,,,,,,,,,,,
,,,,,,,,2.81E-03,,,,,,,
,,,,,,,,8.26E-03,,,,,,,
,,,,,,,,2.48E-02,,,,,,,
