"","Chemical","CAS","MW","Compound.type","Salting.out.Constant","Melting.Point_Celsius.degree","pKa","Water.Solubility_mgperL","LogKOW","LogKAW","CNOM_uM","Time","Q_met","C_cells","C_air","C_plastic","C_free_diss","C_IW","C_lyso","C_mito","C_parent","Q_parent","Q_media_free","Q_cells","Q_media","Q_air","Q_plastic","Q_IW","Q_lyso"
"1","chlorpromazine","50-53-3",318.86,1,0.3304,151,5,2.2128884,5.41,-6.97,5,2880,0,0.000269235,1.51002e-14,8.28852e-07,5.52431e-08,0.000269235,0.000269235,0.000269235,5e-06,1e-08,1.10486e-10,1.7511e-11,9.68245e-09,7.39899e-17,3.00037e-10,1.55848e-11,1.7511e-13
"2","chlorpromazine","50-53-3",318.86,1,0.3304,151,5,2.2128884,5.41,-6.97,15,2880,0,0.000807706,4.53005e-14,2.48656e-06,1.65729e-07,0.000807706,0.000807706,0.000807706,1.5e-05,3e-08,3.31459e-10,5.25329e-11,2.90474e-08,2.2197e-16,9.00111e-10,4.67543e-11,5.25329e-13
