,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,7.00E-07,6.76E-07,5.69E-16,8.46E-06,6.46E-07,2.00E+06,1.08E-16,4.84E-18,5.75E-05
2,cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,7.00E-06,6.76E-06,5.69E-15,8.46E-05,6.46E-06,2.00E+06,1.08E-16,4.84E-18,0.000575279
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,1.35E-03,,,,,,,
,,,,,,,,1.35E-02,,,,,,,
