,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,5.00E-07,4.98E-07,3.61E-16,5.37E-06,4.10E-07,250000,0.032,0.00936,4.56E-06
2,cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,5.00E-06,4.98E-06,3.61E-15,5.37E-05,4.10E-06,250000,0.032,0.00936,4.56E-05
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,9.96E-04,,,,,,,
,,,,,,,,9.96E-03,,,,,,,
