,Chemical,CAS,MW,H37,vb,logkow,CNOM_M,x1,x2,x3,Cdcomp,ncells,Lt,St,Cell_nmole
1,cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,2.50E-07,2.22E-07,1.85E-16,4.85E-06,2.10E-07,1500000,6.89E-16,3.11E-18,5.02E-05
2,cyclosporine A,59865-13-3,1202.61,2.27E-06,1180,2.92,2.50E-06,2.22E-06,1.85E-15,4.85E-05,2.10E-06,1500000,6.89E-16,3.11E-18,0.000501948
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,3.33E-04,,,,,,,
,,,,,,,,3.33E-03,,,,,,,
